genes	protein	compartment	reactions	uniprot
GSTM1	protein_GSTM1	c	23E1QN1GST;23E1QN4GST;23E2QN1GST;23E2QN4GST;34E1QN2GST;34E2QN2GST;ADRNCHRGST;ADRNLQGST_L;DOPAQGST_L;DPAMCHRGST;DPAMQGST_L;DPCHRGST_L;IND56QNGST;NRPPHRCHRGST;NRPPHRQGST_L;PROSTGA1GST;PROSTGA2GST;PROSTGA3GST	P09488
GSTM2	protein_GSTM2	c	23E1QN1GST;23E1QN4GST;23E2QN1GST;23E2QN4GST;34E1QN2GST;34E2QN2GST;ADRNCHRGST;ADRNLQGST_L;DOPAQGST_L;DPAMCHRGST;DPAMQGST_L;DPCHRGST_L;IND56QNGST;NRPPHRCHRGST;NRPPHRQGST_L;PROSTGA1GST;PROSTGA2GST;PROSTGA3GST	P28161
GSTM3	protein_GSTM3	c	23E1QN1GST;23E1QN4GST;23E2QN1GST;23E2QN4GST;34E1QN2GST;34E2QN2GST;ADRNCHRGST;ADRNLQGST_L;DOPAQGST_L;DPAMCHRGST;DPAMQGST_L;DPCHRGST_L;IND56QNGST;NRPPHRCHRGST;NRPPHRQGST_L;PROSTGA1GST;PROSTGA2GST;PROSTGA3GST	P21266
GSTM4	protein_GSTM4	c	23E1QN1GST;23E1QN4GST;23E2QN1GST;23E2QN4GST;34E1QN2GST;34E2QN2GST;ADRNCHRGST;ADRNLQGST_L;DOPAQGST_L;DPAMCHRGST;DPAMQGST_L;DPCHRGST_L;GTHLEUKTRA4;GTHLEUKTRA5;IND56QNGST;NRPPHRCHRGST;NRPPHRQGST_L;PROSTGA1GST;PROSTGA2GST;PROSTGA3GST	Q03013
GSTM5	protein_GSTM5	c	23E1QN1GST;23E1QN4GST;23E2QN1GST;23E2QN4GST;34E1QN2GST;34E2QN2GST;ADRNCHRGST;ADRNLQGST_L;DOPAQGST_L;DPAMCHRGST;DPAMQGST_L;DPCHRGST_L;IND56QNGST;NRPPHRCHRGST;NRPPHRQGST_L;PROSTGA1GST;PROSTGA2GST;PROSTGA3GST	P46439
GSTO1	protein_GSTO1	c	23E1QN1GST;23E1QN4GST;23E2QN1GST;23E2QN4GST;34E1QN2GST;34E2QN2GST;ADRNCHRGST;ADRNLQGST_L;DOPAQGST_L;DPAMCHRGST;DPAMQGST_L;DPCHRGST_L;GTHDH;IND56QNGST;NRPPHRCHRGST;NRPPHRQGST_L;PROSTGA1GST;PROSTGA2GST;PROSTGA3GST	P78417
GSTP1	protein_GSTP1	c	23E1QN1GST;23E1QN4GST;23E2QN1GST;23E2QN4GST;34E1QN2GST;34E2QN2GST;ADRNCHRGST;ADRNLQGST_L;DOPAQGST_L;DPAMCHRGST;DPAMQGST_L;DPCHRGST_L;IND56QNGST;NRPPHRCHRGST;NRPPHRQGST_L;PRDX1GTHG;PROSTGA1GST;PROSTGA2GST;PROSTGA3GST	P09211
GSTT1	protein_GSTT1	c	23E1QN1GST;23E1QN4GST;23E2QN1GST;23E2QN4GST;34E1QN2GST;34E2QN2GST;ADRNCHRGST;ADRNLQGST_L;DOPAQGST_L;DPAMCHRGST;DPAMQGST_L;DPCHRGST_L;IND56QNGST;NRPPHRCHRGST;NRPPHRQGST_L;PROSTGA1GST;PROSTGA2GST;PROSTGA3GST	P30711
GSTZ1	protein_GSTZ1	c	MACACI	O43708
GUCY1A1	protein_GUCY1A1	c	GUACYC;GUACYC2	Q02108
GUCY1B1	protein_GUCY1B1	c	GUACYC;GUACYC2	Q02153
GUK1	protein_GUK1	c	DGK1;DGK2;GK1;GK2;GK3;RBVMPK;THGMPK	Q16774
GUSB	protein_GUSB	pm	E217BGLCRHYD	P08236
GYG1	protein_GYG1	c	GGNG;GLGNS1	P46976
GYS1	protein_GYS1	c	GGNG;GLGNS1	P13807
HACD3	protein_HACD3	c	FACOA3OHDH_16_3OH;FACOA3OHDH_17_3OH;FACOA3OHDH_18_3OH;FACOA3OHDH_19_3OH;FACOA3OHDH_20_11Z14Z17Z3OH;FACOA3OHDH_20_11Z14Z3OH;FACOA3OHDH_20_11Z3OH;FACOA3OHDH_20_13Z3OH;FACOA3OHDH_20_3OH;FACOA3OHDH_20_5Z8Z11Z14Z3OH;FACOA3OHDH_20_8Z11Z14Z3OH;FACOA3OHDH_20_8Z11Z3OH;FACOA3OHDH_20_9Z3OH;FACOA3OHDH_21_3OH;FACOA3OHDH_22_10Z13Z16Z19Z3OH;FACOA3OHDH_22_10Z13Z16Z3OH;FACOA3OHDH_22_11Z3OH;FACOA3OHDH_22_13Z16Z19Z3OH;FACOA3OHDH_22_13Z16Z3OH;FACOA3OHDH_22_13Z3OH;FACOA3OHDH_22_3OH;FACOA3OHDH_22_7Z10Z13Z16Z19Z3OH;FACOA3OHDH_22_7Z10Z13Z16Z3OH;FACOA3OHDH_23_3OH;FACOA3OHDH_24_12Z15Z18Z21Z3OH;FACOA3OHDH_24_15Z3OH;FACOA3OHDH_24_3OH;FACOA3OHDH_24_9Z12Z15Z18Z21Z3OH;FACOA3OHDH_24_9Z12Z15Z18Z3OH;FACOA3OHDH_26_17Z3OH;FACOA3OHDH_26_3OH	Q9P035
HAGH	protein_HAGH	c	GLYOX	Q16775
HAL	protein_HAL	c	HISD	P42357
HARS1	protein_HARS1	c	HISTRS	P12081
HBA	protein_HBA	c	CCLMETHBH;GLOBINRCCL;HB23DPGB;HBCOB;HBFE4OAR;HBFE4OCPP;HBFE4OPX;HBFE4ORPX;HBGLYC;HBNO2R;HBNONT;HBNOOXDNT;HBO2B1;HBO2B2;HEMEGTHOHDEG;METHBCYTBR;METHBFMNR;METHBHEMED;METHBNO2A;METHBONOOD1;METHBONOOD2;METHBONOOX;METHBPX;METHBRCCL;METHBRHEMED;OXYHBAOX;OXYHBNO2OX;OXYHBNOD;OXYHBONOOX;OXYHBPX;SNOHBCYSTN;SNOHBGTHTN;SNOHBNO	P69905
HBB	protein_HBB	c	CCLMETHBH;GLOBINRCCL;HB23DPGB;HBCOB;HBFE4OAR;HBFE4OCPP;HBFE4OPX;HBFE4ORPX;HBGLYC;HBNO2R;HBNONT;HBNOOXDNT;HBO2B1;HBO2B2;HEMEGTHOHDEG;METHBCYTBR;METHBFMNR;METHBHEMED;METHBNO2A;METHBONOOD1;METHBONOOD2;METHBONOOX;METHBPX;METHBRCCL;METHBRHEMED;OXYHBAOX;OXYHBNO2OX;OXYHBNOD;OXYHBONOOX;OXYHBPX;SNOHBCYSTN;SNOHBGTHTN;SNOHBNO	P68871
HBD	protein_HBD	c	CCLMETHBH;GLOBINRCCL;HB23DPGB;HBCOB;HBFE4OAR;HBFE4OCPP;HBFE4OPX;HBFE4ORPX;HBGLYC;HBNO2R;HBNONT;HBNOOXDNT;HBO2B1;HBO2B2;HEMEGTHOHDEG;METHBCYTBR;METHBFMNR;METHBHEMED;METHBNO2A;METHBONOOD1;METHBONOOD2;METHBONOOX;METHBPX;METHBRCCL;METHBRHEMED;OXYHBAOX;OXYHBNO2OX;OXYHBNOD;OXYHBONOOX;OXYHBPX;SNOHBCYSTN;SNOHBGTHTN;SNOHBNO	P02042
HBE1	protein_HBE1	c	CCLMETHBH;GLOBINRCCL;HB23DPGB;HBCOB;HBFE4OAR;HBFE4OCPP;HBFE4OPX;HBFE4ORPX;HBGLYC;HBNO2R;HBNONT;HBNOOXDNT;HBO2B1;HBO2B2;HEMEGTHOHDEG;METHBCYTBR;METHBFMNR;METHBHEMED;METHBNO2A;METHBONOOD1;METHBONOOD2;METHBONOOX;METHBPX;METHBRCCL;METHBRHEMED;OXYHBAOX;OXYHBNO2OX;OXYHBNOD;OXYHBONOOX;OXYHBPX;SNOHBCYSTN;SNOHBGTHTN;SNOHBNO	P02100
HBG1	protein_HBG1	c	CCLMETHBH;GLOBINRCCL;HB23DPGB;HBCOB;HBFE4OAR;HBFE4OCPP;HBFE4OPX;HBFE4ORPX;HBGLYC;HBNO2R;HBNONT;HBNOOXDNT;HBO2B1;HBO2B2;HEMEGTHOHDEG;METHBCYTBR;METHBFMNR;METHBHEMED;METHBNO2A;METHBONOOD1;METHBONOOD2;METHBONOOX;METHBPX;METHBRCCL;METHBRHEMED;OXYHBAOX;OXYHBNO2OX;OXYHBNOD;OXYHBONOOX;OXYHBPX;SNOHBCYSTN;SNOHBGTHTN;SNOHBNO	P69891
HBG2	protein_HBG2	c	CCLMETHBH;GLOBINRCCL;HB23DPGB;HBCOB;HBFE4OAR;HBFE4OCPP;HBFE4OPX;HBFE4ORPX;HBGLYC;HBNO2R;HBNONT;HBNOOXDNT;HBO2B1;HBO2B2;HEMEGTHOHDEG;METHBCYTBR;METHBFMNR;METHBHEMED;METHBNO2A;METHBONOOD1;METHBONOOD2;METHBONOOX;METHBPX;METHBRCCL;METHBRHEMED;OXYHBAOX;OXYHBNO2OX;OXYHBNOD;OXYHBONOOX;OXYHBPX;SNOHBCYSTN;SNOHBGTHTN;SNOHBNO	P69892
HBM	protein_HBM	c	CCLMETHBH;GLOBINRCCL;HB23DPGB;HBCOB;HBFE4OAR;HBFE4OCPP;HBFE4OPX;HBFE4ORPX;HBGLYC;HBNO2R;HBNONT;HBNOOXDNT;HBO2B1;HBO2B2;HEMEGTHOHDEG;METHBCYTBR;METHBFMNR;METHBHEMED;METHBNO2A;METHBONOOD1;METHBONOOD2;METHBONOOX;METHBPX;METHBRCCL;METHBRHEMED;OXYHBAOX;OXYHBNO2OX;OXYHBNOD;OXYHBONOOX;OXYHBPX;SNOHBCYSTN;SNOHBGTHTN;SNOHBNO	Q6B0K9
HBQ1	protein_HBQ1	c	CCLMETHBH;GLOBINRCCL;HB23DPGB;HBCOB;HBFE4OAR;HBFE4OCPP;HBFE4OPX;HBFE4ORPX;HBGLYC;HBNO2R;HBNONT;HBNOOXDNT;HBO2B1;HBO2B2;HEMEGTHOHDEG;METHBCYTBR;METHBFMNR;METHBHEMED;METHBNO2A;METHBONOOD1;METHBONOOD2;METHBONOOX;METHBPX;METHBRCCL;METHBRHEMED;OXYHBAOX;OXYHBNO2OX;OXYHBNOD;OXYHBONOOX;OXYHBPX;SNOHBCYSTN;SNOHBGTHTN;SNOHBNO	P09105
HBZ	protein_HBZ	c	CCLMETHBH;GLOBINRCCL;HB23DPGB;HBCOB;HBFE4OAR;HBFE4OCPP;HBFE4OPX;HBFE4ORPX;HBGLYC;HBNO2R;HBNONT;HBNOOXDNT;HBO2B1;HBO2B2;HEMEGTHOHDEG;METHBCYTBR;METHBFMNR;METHBHEMED;METHBNO2A;METHBONOOD1;METHBONOOD2;METHBONOOX;METHBPX;METHBRCCL;METHBRHEMED;OXYHBAOX;OXYHBNO2OX;OXYHBNOD;OXYHBONOOX;OXYHBPX;SNOHBCYSTN;SNOHBGTHTN;SNOHBNO	P02008
HCK	protein_HCK	c	PROTYK	P08631
HDDC2	protein_HDDC2	c	NTDDAMP;NTDDCMP;NTDDGMP;NTDDTMP	Q7Z4H3
HDDC3	protein_HDDC3	c	NADPHPPS;PPGPPDP	Q8N4P3
HEXA	protein_HEXA	c	HEXGA2;HEXGBSIDE;HEXGM2	P06865
HEXB	protein_HEXB	c	HEXGA2;HEXGBSIDE;HEXGM2	P07686
HINT1	protein_HINT1	c	AMPAMD	P49773
HK1	protein_HK1	c	HEX1;HEX10;HEX1a;HEX4;HEX7	P19367
HK3	protein_HK3	c	HEX1;HEX10;HEX1a;HEX4;HEX7	P52790
HMBS	protein_HMBS	c	HMBS	P08397
HNMT	protein_HNMT	c	HISTANMT	P50135
HPGDS	protein_HPGDS	c	PGD2S	O60760
HPRT1	protein_HPRT1	c	GUAPRT;HXPRT;MERCPURPRT;MTMERCPURPRT;THIOGUAPRT;XPPT	P00492
HRAS	protein_HRAS	c	NTPG	P01112
HSD17B11	protein_HSD17B11	c	ESTRONEDHy	Q8NBQ5
HSD17B12	protein_HSD17B12	c	ANDRSTNDNRy;ESTRONEDHy;FACOA3ORy_16_3O;FACOA3ORy_17_3O;FACOA3ORy_18_3O;FACOA3ORy_19_3O;FACOA3ORy_20_11Z14Z17Z3O;FACOA3ORy_20_11Z14Z3O;FACOA3ORy_20_11Z3O;FACOA3ORy_20_13Z3O;FACOA3ORy_20_3O;FACOA3ORy_20_5Z8Z11Z14Z3O;FACOA3ORy_20_8Z11Z14Z3O;FACOA3ORy_20_8Z11Z3O;FACOA3ORy_20_9Z3O;FACOA3ORy_21_3O;FACOA3ORy_22_10Z13Z16Z19Z3O;FACOA3ORy_22_10Z13Z16Z3O;FACOA3ORy_22_11Z3O;FACOA3ORy_22_13Z16Z19Z3O;FACOA3ORy_22_13Z16Z3O;FACOA3ORy_22_13Z3O;FACOA3ORy_22_3O;FACOA3ORy_22_7Z10Z13Z16Z19Z3O;FACOA3ORy_22_7Z10Z13Z16Z3O;FACOA3ORy_23_3O;FACOA3ORy_24_12Z15Z18Z21Z3O;FACOA3ORy_24_15Z3O;FACOA3ORy_24_3O;FACOA3ORy_24_9Z12Z15Z18Z21Z3O;FACOA3ORy_24_9Z12Z15Z18Z3O;FACOA3ORy_26_17Z3O;FACOA3ORy_26_3O	Q53GQ0
HSP90AA1	protein_HSP90AA1	c	NTPA	P07900
HSP90AB1	protein_HSP90AB1	c	NTPA	P08238
HSPA8	protein_HSPA8	c	NTPA	P11142
HUWE1	protein_HUWE1	c	UBIQE2CONJT	Q7Z6Z7
IARS1	protein_IARS1	c	ILETRS	P41252
IDH1	protein_IDH1	c	ICDHy	O75874
IDH2	protein_IDH2	c	ICDHy	P48735
IMPA1	protein_IMPA1	c	NTD2AMP;NTD2CMP;NTD2GMP;NTD2UMP;G1PPa;GAL1PP;MI14P1PP;MI14P4PP;MI1PP;MI3PP;MI4PP	P29218
IMPA2	protein_IMPA2	c	NTD2AMP;NTD2CMP;NTD2GMP;NTD2UMP;G1PPa;GAL1PP;MI14P1PP;MI14P4PP;MI1PP;MI3PP;MI4PP	O14732
IMPDH2	protein_IMPDH2	c	IMPD;THIOIMPD	P12268
INPP5A	protein_INPP5A	c	MI1345P5PP;MI145P5PP	Q14642
INPP5B	protein_INPP5B	c	MI1345P5PP;MI145P5PP;PI45P5P	P32019
INPP5D	protein_INPP5D	c	MI1345P5PP;PI345P5P;PI45P5P	Q92835
INSR	protein_INSR	c	PROTYK	P06213
ISYNA1	protein_ISYNA1	c	MI3PS	Q9NPH2
ITPA	protein_ITPA	c	NTPPDI;NTPPI;NTPPX;RBVNTPP	Q9BY32
JAK3	protein_JAK3	c	PROTYK	P52333
KARS1	protein_KARS1	c	AP4ASYN;LYSTRS	Q15046
KCNAB2	protein_KCNAB2	pm	Kt1	Q13303
KCNK5	protein_KCNK5	pm	Kt1	O95279
KCNN4	protein_KCNN4	pm	Kt1	O15554
KLHL18	protein_KLHL18	c	UBIQE2CONJT	O94889
KRAS	protein_KRAS	c	NTPG	P01116
KYAT1	protein_KYAT1	c	3HKYNAKGAT;CYSIL2;CYSL2;CYSLNET;CYSTL2;HSERL1;KYNAKGAT;METMSPYRAT;PHPYRAT;SELCYSTL2	Q16773
LANCL1	protein_LANCL1	c	23E1QN1GST;23E1QN4GST;23E2QN1GST;23E2QN4GST;34E1QN2GST;34E2QN2GST;ADRNCHRGST;ADRNLQGST_L;DOPAQGST_L;DPAMCHRGST;DPAMQGST_L;DPCHRGST_L;IND56QNGST;NRPPHRCHRGST;NRPPHRQGST_L;PROSTGA1GST;PROSTGA2GST;PROSTGA3GST	O43813
LAP3	protein_LAP3	c	2ABUTGLYDP;AMPTASECG	P28838
LARS1	protein_LARS1	c	LEUTRS	Q9P2J5
LCMT1	protein_LCMT1	c	LCMTPP2A	Q9UIC8
LDHA	protein_LDHA	c	2H3MV;2HBO;2HIV;GLXO1;GLYCLTDx;HPYRRx_S;L2HGDHx;LDH_L;MCLOR	P00338
LDHB	protein_LDHB	c	2H3MV;2HBO;2HIV;GLXO1;GLYCLTDx;HPYRRx_S;L2HGDHx;LDH_L;MCLOR	P07195
LHPP	protein_LHPP	c	PPA	Q9H008
LPCAT1	protein_LPCAT1	c	LPAAT;LPCAT;LPCOAT;LPCPAT;PAFS	Q8NF37
LPCAT3	protein_LPCAT3	c	LPCAT;LPCOAT;LPCPAT;LPEAT;LPSAT;PAFS	Q6P1A2
LPIN2	protein_LPIN2	c	PAPP;PAPPO	Q92539
LRRC8A	protein_LRRC8A	pm	ALABt;ASPte;Clt;GLUte;INOSTt;It;TAURt	Q8IWT6
LSS	protein_LSS	c	LNSTLS	P48449
LTA4H	protein_LTA4H	c	FLDPP;FYDPP;KLDPP;LGFTPAP;LGGTPAP;LLLTPAP;LTA4H;LTA5H;PFDPP;PLDPP;YYYTPAP	P09960
LYN	protein_LYN	c	PROTYK	P07948
LYPLA1	protein_LYPLA1	c	LPCLPLB;LPELPLB;LPILPLB;LPSLPLB;PROTCSAE_14_0;PROTCSAE_16_0;PROTCSAE_18_0	O75608
LYPLA2	protein_LYPLA2	c	LPALPLB;LPCLPLB;LPSLPLB;PGD21GH;PGDF21GH;PGE21GH;PROTCSAE_14_0;PROTCSAE_16_0;PROTCSAE_18_0	O95372
LYPLAL1	protein_LYPLAL1	c	PROTCSAE_14_0;PROTCSAE_16_0;PROTCSAE_18_0	Q5VWZ2
MAN2C1	protein_MAN2C1	c	A_MANASE	Q9NTJ4
MAP2K1	protein_MAP2K1	c	PROTSK;PROTTK;PROTYK	Q02750
MAP2K2	protein_MAP2K2	c	PROTSK;PROTTK;PROTYK	P36507
MAP2K3	protein_MAP2K3	c	PROTSK;PROTTK;PROTYK	P46734
MAP2K6	protein_MAP2K6	c	PROTSK;PROTTK;PROTYK	P52564
MAPK1	protein_MAPK1	c	PROTSK;PROTTK	P28482
MAPK14	protein_MAPK14	c	PROTSK;PROTTK	Q16539
MAPK3	protein_MAPK3	c	PROTSK;PROTTK	P27361
MAPKAPK2	protein_MAPKAPK2	c	PROTSK;PROTTK	P49137
MARS1	protein_MARS1	c	METTRS	P56192
MAT2A	protein_MAT2A	c	METAT;SELMETAT	P31153
MAT2B	protein_MAT2B	c	METAT;SELMETAT	Q9NZL9
MBLAC2	protein_MBLAC2	c	FACOAE_12_0;FACOAE_13_0;FACOAE_14_0;FACOAE_14_5Z;FACOAE_14_7Z;FACOAE_14_9Z;FACOAE_15_0;FACOAE_16_0;FACOAE_16_7Z;FACOAE_16_9Z;FACOAE_17_0;FACOAE_17_10Z;FACOAE_17_9Z;FACOAE_18_0;FACOAE_18_11Z;FACOAE_18_13Z;FACOAE_18_6Z9Z;FACOAE_18_6Z9Z12Z;FACOAE_18_6Z9Z12Z15Z;FACOAE_18_7Z;FACOAE_18_9E;FACOAE_18_9Z;FACOAE_18_9Z12Z;FACOAE_18_9Z12Z15Z;FACOAE_19_0;FACOAE_20_0;FACOAE_20_11Z;FACOAE_20_11Z14Z;FACOAE_20_11Z14Z17Z;FACOAE_20_13Z;FACOAE_20_5Z8Z11Z;FACOAE_20_5Z8Z11Z14Z;FACOAE_20_5Z8Z11Z14Z17Z;FACOAE_20_8Z11Z;FACOAE_20_8Z11Z14Z;FACOAE_20_8Z11Z14Z17Z;FACOAE_20_9Z	Q68D91
MBOAT2	protein_MBOAT2	c	LPAAT;LPEAT	Q6ZWT7
MDH1	protein_MDH1	c	34HPLDH;L2HGDHx;MDH;PHLAC;SLDx	P40925
MDH2	protein_MDH2	c	34HPLDH;L2HGDHx;MDH;PHLAC;SLDx	P40926
MDP1	protein_MDP1	c	PROTKF6PPP;PROTYPP	Q86V88
ME1	protein_ME1	c	ME2;OAADC	P48163
MFSD2B	protein_MFSD2B	pm	SPH1tex;SPHS1tex	A6NFX1
MGST2	protein_MGST2	c	23E1QN1GST;23E1QN4GST;23E2QN1GST;23E2QN4GST;34E1QN2GST;34E2QN2GST;ADRNCHRGST;ADRNLQGST_L;DOPAQGST_L;DPAMCHRGST;DPAMQGST_L;DPCHRGST_L;GTHLEUKTRA4;GTHLEUKTRA5;IND56QNGST;NRPPHRCHRGST;NRPPHRQGST_L;PROSTGA1GST;PROSTGA2GST;PROSTGA3GST	Q99735
MIF	protein_MIF	c	34HPPT;DCT;PHPYRT	P14174
MINPP1	protein_MINPP1	c	DPG3P;MI13456P3PP;MI1345P3PP;MI1456P6PP;MI145P5PP;MI14P1PP;MI14P4PP	Q9UNW1
MPI	protein_MPI	c	MAN6PI	P34949
MPO	protein_MPO	pm	MPOe	P05164
MPST	protein_MPST	c	HTSULDHLA;MCPST;MCPST3;MCPST4	P25325
MRI1	protein_MRI1	c	MTRI	Q9BV20
MSRA	protein_MSRA	c	METSOXTRD;PROTMSOXTRD	Q9UJ68
MTAP	protein_MTAP	c	MTAP	Q13126
MTHFD1	protein_MTHFD1	c	FTHFL;MTHFC;MTHFD	P11586
MTM1	protein_MTM1	c	PI35P3P;PI3PP	Q13496
MTMR1	protein_MTMR1	c	PI35P3P;PI3PP	Q13613
MTMR12	protein_MTMR12	c	PI35P3P;PI3PP	Q9C0I1
MTMR2	protein_MTMR2	c	PI35P3P;PI3PP	Q13614
MVD	protein_MVD	c	DPMVD	P53602
NADK2	protein_NADK2	c	NADK	Q4G0N4
NADSYN1	protein_NADSYN1	c	NADS2	Q6IA69
NAE1	protein_NAE1	c	NEDD8E1ACT	Q13564
NAGK	protein_NAGK	c	ACGAMK;AMANK	Q9UJ70
NAMPT	protein_NAMPT	c	NMNS	P43490
NANP	protein_NANP	c	ACNAMPH	Q8TBE9
NANS	protein_NANS	c	ACNAM9PL;ACNAM9PL2;ACNAM9PL3	Q9NR45
NAPEPLD	protein_NAPEPLD	c	NAPEPLD	Q6IQ20
NAPRT	protein_NAPRT	c	NAMNPP;NAPRT	Q6XQN6
NARS1	protein_NARS1	c	ASNTRS	O43776
NAXD	protein_NAXD	c	NADHXD;NADPHXD	Q8IW45
NAXE	protein_NAXE	c	NADHXE;NADPHXE	Q8NCW5
NCEH1	protein_NCEH1	c	DAGOACAH;XOLEST2EH	Q6PIU2
NEDD8	protein_NEDD8	c	NEDD8E1ACT;NEDD8E1E2T;NEDD8E2CONJT	Q15843
NEU1	protein_NEU1	c	NEU25;NEU31;NEU32;NEU34;NEU36	Q99519
NEU1	protein_NEU1	pm	NEU31e;NEU32e;NEU33e;NEU34e;NEU35e;NEU36e;NEU37e;NEU39e	Q99519
NEU2	protein_NEU2	c	NEU24;NEU25;NEU31;NEU32;NEU33;NEU34;NEU36	Q9Y3R4
NEU3	protein_NEU3	c	NEU25;NEU31;NEU32;NEU34;NEU36	Q9UQ49
NEU3	protein_NEU3	pm	NEU31e;NEU32e;NEU33e;NEU34e;NEU35e;NEU36e;NEU37e;NEU39e	Q9UQ49
NIT1	protein_NIT1	c	DGSHAMID;DOPHAMID	Q86X76
NIT2	protein_NIT2	c	OXOGAH;OXOSUCAH	Q9NQR4
NME1	protein_NME1	c	5FLUDPK;NDPK1;NDPK10;NDPK2;NDPK3;NDPK4;NDPK5;NDPK6;NDPK7;NDPK8;NDPK9;PROTNK1;PROTNK2;RBVDPK;THGDPK	P15531
NME2	protein_NME2	c	5FLUDPK;NDPK1;NDPK10;NDPK2;NDPK3;NDPK4;NDPK5;NDPK6;NDPK7;NDPK8;NDPK9;PROTNK1;PROTNK2;RBVDPK;THGDPK	P22392
NME3	protein_NME3	c	5FLUDPK;NDPK1;NDPK10;NDPK2;NDPK3;NDPK4;NDPK5;NDPK6;NDPK7;NDPK8;NDPK9	Q13232
NMNAT3	protein_NMNAT3	c	4PYRNMAT;NMNAT;NMNHAT;NNAT	Q96T66
NOS3	protein_NOS3	c	NOS1;NOS2	P29474
NPEPPS	protein_NPEPPS	c	2ABUTGLYDP;AMPTASECG	P55786
NPL	protein_NPL	c	ACNML	Q9BXD5
NPLOC4	protein_NPLOC4	c	NTPA	Q8TAT6
NQO2	protein_NQO2	c	ADRNCHR2ERz;ADRNLQ2ERz_L;DOPAQ2ERz_L;DPAMCHR2ERz;DPAMQ2ERz_L;DPCHR2ERz_L;ESTRADIOL23Q2ERz;ESTRADIOL34Q2ERz;ESTRONE23Q2ERz;ESTRONE34Q2ERz;IND56Q2ERz;NRPPHRCHR2ERz;NRPPHRQ2ERz_L;Q102ERz	P16083
NRAS	protein_NRAS	c	NTPG	P01111
NSF	protein_NSF	c	NTPA	P46459
NSFL1C	protein_NSFL1C	c	NTPA	Q9UNZ2
NT5C	protein_NT5C	c	NICHYD;NMNHYD;NTD2AMP;NTD2CMP;NTD2GMP;NTD2UMP;NTDDAMP;NTDDGMP;NTDDIMP;NTDDTMP;NTDDUMP	Q8TCD5
NT5C2	protein_NT5C2	c	4PYRNN;AMPINSPT;CMPINSPT;DGMPGSNPT;DGMPINSPT;DIMPGSNPT;DIMPINSPT;IMGPT;NICHYD;NMNHYD;NTDAMP;NTDDGMP;NTDDIMP;NTDGMP;NTDIMP;NTDSAMP;NTDSZMP;NTDXMP;NTDZMP;RBVIMPT;RBVNTD;UMPINSPT	P49902
NT5C3A	protein_NT5C3A	c	DCMPCYTDPT;DCMPURIPT;DTMPCYTDPT;DTMPURIPT;DUMPCYTDPT;DUMPURIPT;NTDCMP;NTDDCMP;NTDDTMP;NTDDUMP;NTDUMP;UMPCYTDPT	Q9H0P0
NUDT2	protein_NUDT2	c	AP4AH1;GP4AH1	P50583
NUDT3	protein_NUDT3	c	AP4AH1;AP5AH1;AP6AH1;PPA2	O95989
NUDT4	protein_NUDT4	c	5INS7P5PP;AP6AH2;PRPPPP	Q9NZJ9
NUDT5	protein_NUDT5	c	ADPGLCDP;ADPMNDP;ADPRDP;ADPRUDP;ATPR5PT	Q9UKK9
OARD1	protein_OARD1	c	ADPRDACAC2;NADN2	Q9Y530
ODC1	protein_ODC1	c	ORNDC	P11926
OGA	protein_OGA	c	PROTS3OACGAMH;PROTT3OACGAMH	O60502
OGT	protein_OGT	c	PROTSACGAMT;PROTTACGAMT	O15294
OXSR1	protein_OXSR1	c	PROTSK;PROTTK	O95747
P2RX1	protein_P2RX1	pm	CA2t;Kt1;NAt	P51575
P2RX2	protein_P2RX2	pm	CA2t;Kt1;NAt	Q9UBL9
P2RX7	protein_P2RX7	pm	CA2t;Kt1;NAt	Q99572
P4HB	protein_P4HB	c	INSULINGTHOR	P07237
PAFAH1B1	protein_PAFAH1B1	c	PAFH	P43034
PAFAH1B2	protein_PAFAH1B2	c	PAFH	P68402
PAFAH1B3	protein_PAFAH1B3	c	PAFH	Q15102
PAICS	protein_PAICS	c	AIRC;PRASCS	P22234
PAK2	protein_PAK2	c	PROTSK;PROTTK	Q13177
PANK2	protein_PANK2	c	4PCYSK;PNTOK;PTTHK	Q9BZ23
PANK4	protein_PANK4	c	PAN4PP	Q9NVE7
PANX1	protein_PANX1	pm	ASPte;ATPte;CA2t;Clt;GLCNte;GLUte;It;Kt1;NAt;NO3t;SPMDtex2	Q96RD7
PARK7	protein_PARK7	c	PROTCDGLAC_D;PROTCDGLAC_L;PROTKDGLAC_D;PROTKDGLAC_L;PROTRDGLAC_D;PROTRDGLAC_L	Q99497
PCBD1	protein_PCBD1	c	THBPT4ACAMDASE	P61457
PCBD2	protein_PCBD2	c	THBPT4ACAMDASE	Q9H0N5
PCK1	protein_PCK1	c	PEPCK	P35558
PCMT1	protein_PCMT1	c	PROTDMT_D;PROTISODMT_L	P22061
PCYT1A	protein_PCYT1A	c	CHLPCTD	P49585
PCYT1B	protein_PCYT1B	c	CHLPCTD	Q9Y5K3
PCYT2	protein_PCYT2	c	PETHCT	Q99447
PDE1A	protein_PDE1A	c	PDEG	P54750
PDE2A	protein_PDE2A	c	PDEA;PDEG;PDEI	O00408
PDE3A	protein_PDE3A	c	PDEA;PDEG;PDEI	Q14432
PDE3B	protein_PDE3B	c	PDEA;PDEG;PDEI	Q13370
PDE4D	protein_PDE4D	c	PDEA;PDEI	Q08499
PDE5A	protein_PDE5A	c	PDEG	O76074
