genes	name	uniprot	ncbigene	hgnc.symbol	proteomic evidence (#studies)	proteomic evidence (pubmed)	references	notes
GGCT	GGCT	O75223	79017	GGCT	19	pubmed:18494517;pubmed:18614565;pubmed:23781972;pubmed:24555563;pubmed:26474164;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323;pubmed:40043591	pubmed:29601	
GLRX	GLRX1	P35754	2745	GLRX	19	pubmed:14963112;pubmed:16861337;pubmed:18494517;pubmed:18614565;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:1829380;pubmed:8019414	
HSP90AB1	HS90B	P08238	3326	HSP90AB1	19	pubmed:18614565;pubmed:23781972;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323;pubmed:40043591		
IDH1	IDHC	O75874	3417	IDH1	19	pubmed:18399644;pubmed:18494517;pubmed:18614565;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:4429550	
MDH1	MDHC	P40925	4190	MDH1	19	pubmed:22157974;pubmed:23781972;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323;pubmed:40043591	pubmed:13988699	
NAPRT	PNCB	Q6XQN6	93100	NAPRT	19	pubmed:16861337;pubmed:18614565;pubmed:19778645;pubmed:24555563;pubmed:26474164;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323;pubmed:40043591	pubmed:13563527;pubmed:14704851;pubmed:4349867	
P4HB	PDIA1	P07237	5034	P4HB	19	pubmed:16861337;pubmed:18614565;pubmed:22954596;pubmed:24555563;pubmed:26078478;pubmed:26271157;pubmed:27006477;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323	doi:10.1016/j.euprot.2015.04.001;pubmed:23913858;pubmed:29599206	
PNP	PNPH	P00491	4860	PNP	19	pubmed:22954596;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323;pubmed:40043591	pubmed:114517;pubmed:12180982;pubmed:13405917;pubmed:412851;pubmed:413564	
PPIB	PPIB	P23284	5479	PPIB	19	pubmed:18614565;pubmed:19778645;pubmed:22954596;pubmed:24555563;pubmed:26078478;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:31552303;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:37760001;pubmed:37942280;pubmed:38964323	pubmed:29146974;pubmed:3280030;pubmed:3538549	
PPME1	PPME1	Q9Y570	51400	PPME1	19	pubmed:18494517;pubmed:18614565;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323;pubmed:40043591		
PPP2R1A	2AAA	P30153	5518	PPP2R1A	19	pubmed:18399644;pubmed:18494517;pubmed:18614565;pubmed:19778645;pubmed:24555563;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:10578065;pubmed:2831201;pubmed:6309805	
RAB11B	RB11B	Q15907	9230	RAB11B	19	pubmed:18399644;pubmed:18494517;pubmed:18614565;pubmed:19778645;pubmed:22954596;pubmed:24555563;pubmed:26474164;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323;pubmed:40043591	pubmed:33341364	
RHOA	RHOA	P61586	387	RHOA	19	pubmed:19778645;pubmed:22954596;pubmed:26078478;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:25035675	
RNF123	RN123	Q5XPI4	63891	RNF123	19	pubmed:19778645;pubmed:22157974;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323		
TKFC	TKFC	Q3LXA3	26007	TKFC	19	pubmed:16861337;pubmed:18494517;pubmed:18614565;pubmed:19778645;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33676898;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323;pubmed:40043591	pubmed:4688871	
TXNL1	TXNL1	O43396	9352	TXNL1	19	pubmed:18614565;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323;pubmed:40043591		
UBE2N	UBE2N	P61088	7334	UBE2N	19	pubmed:16861337;pubmed:18614565;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323;pubmed:40043591		
UBE2O	UBE2O	Q9C0C9	63893	UBE2O	19	pubmed:22954596;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323;pubmed:40043591		
UBE2V1	UB2V1	Q13404	7335	UBE2V1	19	pubmed:14963112;pubmed:18494517;pubmed:22954596;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33676898;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323;pubmed:40043591		
UBR4	UBR4	Q5T4S7	23352	UBR4	19	pubmed:19778645;pubmed:22954596;pubmed:24555563;pubmed:26271157;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:31552303;pubmed:33103907;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:38147558;pubmed:38964323		
ADSL	PUR8	P30566	158	ADSL	18	pubmed:22954596;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323	doi:10.1016/0020-711X(75)90030-0.;pubmed:11428554;pubmed:29079593	
AKR1A1	AK1A1	P14550	10327	AKR1A1	18	pubmed:18494517;pubmed:18614565;pubmed:23781972;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33676898;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:3922304	
AKR7A2	ARK72	O43488	8574	AKR7A2	18	pubmed:18494517;pubmed:18614565;pubmed:22157974;pubmed:23781972;pubmed:24555563;pubmed:26474164;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323		
AQP1	AQP1	P29972	358	AQP1	18	pubmed:16861337;pubmed:24555563;pubmed:26078478;pubmed:27006477;pubmed:28263177;pubmed:28689405;pubmed:30271928;pubmed:30327373;pubmed:31552303;pubmed:33103907;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:33633837;pubmed:8576117	
ATP7A	ATP7A	Q04656	538	ATP7A	18	pubmed:16861337;pubmed:18614565;pubmed:22954596;pubmed:24555563;pubmed:26078478;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30271928;pubmed:30327373;pubmed:31552303;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:32996603	
CAND1	CAND1	Q86VP6	55832	CAND1	18	pubmed:23781972;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323		
CTPS1	PYRG1	P17812	1503	CTPS1	18	pubmed:18494517;pubmed:18614565;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:10064135	
CYBRD1	CYBR1	Q53TN4	79901	CYBRD1	18	pubmed:16861337;pubmed:19778645;pubmed:22954596;pubmed:24555563;pubmed:26078478;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:31552303;pubmed:33103907;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:17068337	
FBXO7	FBX7	Q9Y3I1	25793	FBXO7	18	pubmed:16861337;pubmed:18614565;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323		
FH	FUMH	P07954	2271	FH	18	pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323;pubmed:40043591	pubmed:27037871;pubmed:29315908	
FKBP4	FKBP4	Q02790	2288	FKBP4	18	pubmed:18494517;pubmed:18614565;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323		
FN3KRP	KT3K	Q9HA64	79672	FN3KRP	18	pubmed:18399644;pubmed:18494517;pubmed:18614565;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:15137908	
GSR	GSHR	P00390	2936	GSR	18	pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323;pubmed:40043591	pubmed:14086726;pubmed:7060551;pubmed:8143;pubmed:923580	
HBG1	HBG1	P69891	3047	HBG1	18	pubmed:16861337;pubmed:18614565;pubmed:24555563;pubmed:26474164;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323;pubmed:40043591	pubmed:11747442;pubmed:20925047;pubmed:6171809	
HINT1	HINT1	P49773	3094	HINT1	18	pubmed:18494517;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323;pubmed:40043591		
HMBS	HEM3	P08397	3145	HMBS	18	pubmed:22954596;pubmed:23781972;pubmed:24555563;pubmed:26474164;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323;pubmed:40043591	pubmed:2609111;pubmed:3422427;pubmed:3802547;pubmed:42911	
MAPK1	MK01	P28482	5594	MAPK1	18	pubmed:18614565;pubmed:22954596;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:22147898;pubmed:31709379	
NANS	SIAS	Q9NR45	54187	NANS	18	pubmed:18494517;pubmed:18614565;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:10749855;pubmed:9765240	
NME1	NDKA	P15531	4830	NME1	18	pubmed:18614565;pubmed:24555563;pubmed:26474164;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323;pubmed:40043591	pubmed:1851158;pubmed:211386;pubmed:5555569;pubmed:5562833;pubmed:5903722;pubmed:5916396	
PCMT1	PIMT	P22061	5110	PCMT1	18	pubmed:18399644;pubmed:18614565;pubmed:24555563;pubmed:26474164;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323;pubmed:40043591	pubmed:30312994	
PDIA3	PDIA3	P30101	2923	PDIA3	18	pubmed:12362340;pubmed:16861337;pubmed:19778645;pubmed:24555563;pubmed:26078478;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323		
PPA1	IPYR	Q15181	5464	PPA1	18	pubmed:18399644;pubmed:18494517;pubmed:18614565;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:4130389;pubmed:6022858;pubmed:656444	
PPP2CA	PP2AA	P67775	5515	PPP2CA	18	pubmed:16861337;pubmed:18614565;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30271928;pubmed:30327373;pubmed:33103907;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:38147558;pubmed:38964323	pubmed:10578065;pubmed:2831201	
PRKACA	KAPCA	P17612	5566	PRKACA	18	pubmed:12362340;pubmed:22954596;pubmed:24555563;pubmed:26078478;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:19758581;pubmed:208524;pubmed:216002	
QDPR	DHPR	P09417	5860	QDPR	18	pubmed:18494517;pubmed:18614565;pubmed:24555563;pubmed:26474164;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:3732224	
RAN	RAN	P62826	5901	RAN	18	pubmed:18614565;pubmed:19778645;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323;pubmed:40043591		
RUVBL1	RUVB1	Q9Y265	8607	RUVBL1	18	pubmed:19778645;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:10524211	
SKP1	SKP1	P63208	6500	SKP1	18	pubmed:14963112;pubmed:22157974;pubmed:22954596;pubmed:24555563;pubmed:26474164;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323;pubmed:40043591		
WDR77	MEP50	Q9BQA1	79084	WDR77	18	pubmed:18494517;pubmed:18614565;pubmed:22954596;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:38147558;pubmed:38964323		
ABCG2	ABCG2	Q9UNQ0	9429	ABCG2	17	pubmed:16861337;pubmed:19778645;pubmed:22954596;pubmed:24555563;pubmed:26078478;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30271928;pubmed:30327373;pubmed:31552303;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:37942280;pubmed:38964323	pubmed:24094238;pubmed:27239515;pubmed:29749379	
ACAT2	THIC	Q9BWD1	39	ACAT2	17	pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323		
ACP1	PPAC	P24666	52	ACP1	17	pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30271928;pubmed:30327373;pubmed:33103907;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:2418829;pubmed:6934695	
ACSL4	ACSL4	O60488	2182	ACSL4	17	pubmed:18614565;pubmed:19778645;pubmed:22954596;pubmed:26078478;pubmed:26271157;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:31552303;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:37942280;pubmed:38147558;pubmed:38964323		
ATP6V1E1	VATE1	P36543	529	ATP6V1E1	17	pubmed:18614565;pubmed:19778645;pubmed:22954596;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:38147558;pubmed:38964323;pubmed:40043591	pubmed:33341364;pubmed:7796469	
CARM1	CARM1	Q86X55	10498	CARM1	17	pubmed:16861337;pubmed:18614565;pubmed:24555563;pubmed:26474164;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323		
CPPED1	CPPED	Q9BRF8	55313	CPPED1	17	pubmed:18494517;pubmed:18614565;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:38147558;pubmed:38964323		
DCXR	DCXR	Q7Z4W1	51181	DCXR	17	pubmed:18399644;pubmed:18614565;pubmed:19778645;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:28263177;pubmed:28689405;pubmed:30271928;pubmed:30327373;pubmed:33103907;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:38147558;pubmed:38964323	pubmed:3994659	
DNPH1	DNPH1	O43598	10591	DNPH1	17	pubmed:18494517;pubmed:18614565;pubmed:23781972;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:38147558;pubmed:38964323;pubmed:40043591		
DPP3	DPP3	Q9NY33	10072	DPP3	17	pubmed:16861337;pubmed:18494517;pubmed:18614565;pubmed:24555563;pubmed:26474164;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323;pubmed:40043591	pubmed:1515063;pubmed:7002549;pubmed:743227	
FKBP3	FKBP3	Q00688	2287	FKBP3	17	pubmed:18494517;pubmed:18614565;pubmed:22954596;pubmed:24555563;pubmed:26078478;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323		
GPX1	GPX1	P07203	2876	GPX1	17	pubmed:19778645;pubmed:22954596;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:38147558;pubmed:38964323	pubmed:24039907;pubmed:807573	
HBM	HBM	Q6B0K9	3042	HBM	17	pubmed:16861337;pubmed:18399644;pubmed:18614565;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:38147558;pubmed:38964323		
HUWE1	HUWE1	Q7Z6Z7	10075	HUWE1	17	pubmed:18614565;pubmed:19778645;pubmed:24555563;pubmed:26474164;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323		
MAP2K2	MP2K2	P36507	5605	MAP2K2	17	pubmed:18494517;pubmed:18614565;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30271928;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:22147898;pubmed:31709379	
NAE1	ULA1	Q13564	8883	NAE1	17	pubmed:16861337;pubmed:18614565;pubmed:23781972;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:38147558;pubmed:38964323;pubmed:40043591	pubmed:12740388	
NSFL1C	NSF1C	Q9UNZ2	55968	NSFL1C	17	pubmed:19778645;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:38147558;pubmed:38964323;pubmed:40043591		
PAICS	PUR6	P22234	10606	PAICS	17	pubmed:22954596;pubmed:24555563;pubmed:26474164;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323;pubmed:40043591	pubmed:2075724	
PDIA4	PDIA4	P13667	9601	PDIA4	17	pubmed:19778645;pubmed:22954596;pubmed:24555563;pubmed:26078478;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:31552303;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323		
PFKM	PFKAM	P08237	5213	PFKM	17	pubmed:22954596;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30271928;pubmed:30327373;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:2970843;pubmed:6444721;pubmed:6451249	
