	genes	mim	mim.phenotype	hgnc.symbol	type	ncbigene	ensembl	phenotype	cyto.location	morbid.symbol	chromosome	ensemble	mgi	title	title.symbol	mim.all	mim.phenotype.title	mim.phenotype.title.symbol
467	MAPKAPK2	602006		MAPKAPK2	gene	9261	ENSG00000162889				chr1	ENSG00000162889	109298	MITOGEN-ACTIVATED PROTEIN KINASE-ACTIVATED PROTEIN KINASE 2	MAPKAPK2	602006		
468	MARS1	156560	615486	MARS1	gene	4141	ENSG00000166986	Interstitial lung and liver disease, 615486 (3)	12q13.3	MARS1	chr12	ENSG00000166986	1345633	METHIONYL-tRNA SYNTHETASE 1	MARS1	156560;615486	INTERSTITIAL LUNG AND LIVER DISEASE	ILLD
469	MARS1	156560	616280	MARS1	gene	4141	ENSG00000166986	Charcot-Marie-Tooth disease, axonal, type 2U, 616280 (3)	12q13.3	MARS1	chr12	ENSG00000166986	1345633	METHIONYL-tRNA SYNTHETASE 1	MARS1	156560;616280	CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2U	CMT2U
470	MARS1	156560	619692	MARS1	gene	4141	ENSG00000166986	?Trichothiodystrophy 9, nonphotosensitive, 619692 (3)	12q13.3	MARS1	chr12	ENSG00000166986	1345633	METHIONYL-tRNA SYNTHETASE 1	MARS1	156560;619692	TRICHOTHIODYSTROPHY 9, NONPHOTOSENSITIVE	TTD9
471	MARS1	156560	620323	MARS1	gene	4141	ENSG00000166986	Spastic paraplegia 70, autosomal recessive, 620323 (3)	12q13.3	MARS1	chr12	ENSG00000166986	1345633	METHIONYL-tRNA SYNTHETASE 1	MARS1	156560;620323	SPASTIC PARAPLEGIA 70, AUTOSOMAL RECESSIVE	SPG70
472	MAT2A	601468		MAT2A	gene	4144	ENSG00000168906				chr2	ENSG00000168906	2443731	METHIONINE ADENOSYLTRANSFERASE II, ALPHA	MAT2A	601468		
473	MAT2B	605527		MAT2B	gene	27430	ENSG00000038274				chr5	ENSG00000038274	1913667	METHIONINE ADENOSYLTRANSFERASE II, BETA	MAT2B	605527		
474	MBOAT2	611949		MBOAT2	gene	129642	ENSG00000143797				chr2	ENSG00000143797	1914466	MEMBRANE-BOUND O-ACYLTRANSFERASE DOMAIN-CONTAINING PROTEIN 2	MBOAT2	611949		
475	MDH1	154200	618959	MDH1	gene	4190	ENSG00000014641	?Developmental and epileptic encephalopathy 88, 618959 (3)	2p15	MDH1	chr2	ENSG00000014641	97051	MALATE DEHYDROGENASE, SOLUBLE	MDH1	154200;618959	DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 88	DEE88
476	ME1	154250		ME1	gene	4199	ENSG00000065833				chr6	ENSG00000065833	97043	MALIC ENZYME 1	ME1	154250		
477	MFSD2B	617845		MFSD2B	gene	388931	ENSG00000205639				chr2	ENSG00000205639	3583946	MAJOR FACILITATOR SUPERFAMILY DOMAIN-CONTAINING PROTEIN 2B	MFSD2B	617845		
478	MGST2	601733		MGST2	gene	4258	ENSG00000085871				chr4	ENSG00000085871	2448481	GLUTATHIONE S-TRANSFERASE, MICROSOMAL, 2	MGST2	601733		
479	MIF	153620	604302	MIF	gene	4282	ENSG00000240972	{Rheumatoid arthritis, systemic juvenile, susceptibility to}, 604302 (3)	22q11.23	MIF	chr22	ENSG00000240972	96982	MACROPHAGE MIGRATION INHIBITORY FACTOR	MIF	153620;604302	RHEUMATOID ARTHRITIS, SYSTEMIC JUVENILE	
480	MINPP1	605391	188470	MINPP1	gene	9562	ENSG00000107789	{Thyroid carcinoma, follicular}, 188470 (3)	10q23.2	MINPP1	chr10	ENSG00000107789	1336159	MULTIPLE INOSITOL POLYPHOSPHATE PHOSPHATASE 1	MINPP1	188470;605391	THYROID CANCER, NONMEDULLARY, 2	NMTC2
481	MINPP1	605391	619527	MINPP1	gene	9562	ENSG00000107789	Pontocerebellar hypoplasia, type 16, 619527 (3)	10q23.2	MINPP1	chr10	ENSG00000107789	1336159	MULTIPLE INOSITOL POLYPHOSPHATE PHOSPHATASE 1	MINPP1	605391;619527	PONTOCEREBELLAR HYPOPLASIA, TYPE 16	PCH16
482	MPI	154550	602579	MPI	gene	4351	ENSG00000178802	Congenital disorder of glycosylation, type Ib, 602579 (3)	15q24.1-q24.2	MPI	chr15	ENSG00000178802	97075	MANNOSEPHOSPHATE ISOMERASE	MPI	154550;602579	CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Ib	CDG1B
483	MPST	602496		MPST	gene	4357	ENSG00000128309				chr22	ENSG00000128309	2179733	MERCAPTOPYRUVATE SULFURTRANSFERASE	MPST	602496		
484	MRI1	615105		MRI1	gene	84245	ENSG00000037757				chr19	ENSG00000037757	1915123	METHYLTHIORIBOSE-1-PHOSPHATE ISOMERASE 1	MRI1	615105		
485	MTAP	156540	112250	MTAP	gene	4507	ENSG00000099810	Diaphyseal medullary stenosis with malignant fibrous histiocytoma, 112250 (3)	9p21.3	MTAP	chr9	ENSG00000099810	1914152	METHYLTHIOADENOSINE PHOSPHORYLASE	MTAP	112250;156540	DIAPHYSEAL MEDULLARY STENOSIS WITH MALIGNANT FIBROUS HISTIOCYTOMA	DMSMFH
486	MTHFD1	172460	601634	MTHFD1	gene	4522	ENSG00000100714	{Neural tube defects, folate-sensitive, susceptibility to}, 601634 (3)	14q23.3	MTHFD1	chr14	ENSG00000100714	1342005	METHYLENETETRAHYDROFOLATE DEHYDROGENASE 1	MTHFD1	172460;601634	NEURAL TUBE DEFECTS, FOLATE-SENSITIVE	NTDFS
487	MTHFD1	172460	617780	MTHFD1	gene	4522	ENSG00000100714	Combined immunodeficiency and megaloblastic anemia with or without hyperhomocysteinemia, 617780 (3)	14q23.3	MTHFD1	chr14	ENSG00000100714	1342005	METHYLENETETRAHYDROFOLATE DEHYDROGENASE 1	MTHFD1	172460;617780	COMBINED IMMUNODEFICIENCY AND MEGALOBLASTIC ANEMIA WITH OR WITHOUT HYPERHOMOCYSTEINEMIA	CIMAH
488	MTM1	300415	310400	MTM1	gene	4534	ENSG00000171100	Myopathy, centronuclear, X-linked 310400 (3)	Xq28	MTM1	chrX	ENSG00000171100	1099452	MYOTUBULARIN	MTM1	300415;310400	MYOPATHY, CENTRONUCLEAR, X-LINKED	CNMX
489	MVD	603236	614714	MVD	gene	4597	ENSG00000167508	Porokeratosis 7, multiple types, 614714 (3)	16q24.2	MVD	chr16	ENSG00000167508	2179327	MEVALONATE PYROPHOSPHATE DECARBOXYLASE	MVD	603236;614714	POROKERATOSIS 7, MULTIPLE TYPES	POROK7
490	NADK2	615787	616034	NADK2	gene	133686	ENSG00000152620	2,4-dienoyl-CoA reductase deficiency, 616034 (3)	5p13.2	NADK2	chr5	ENSG00000152620	1915896	NAD KINASE 2, MITOCHONDRIAL	NADK2	615787;616034	2,4-DIENOYL-CoA REDUCTASE DEFICIENCY	DECRD
491	NADSYN1	608285	618845	NADSYN1	gene	55191	ENSG00000172890	Vertebral, cardiac, renal, and limb defects syndrome 3, 618845 (3)	11q13.4	NADSYN1	chr11	ENSG00000172890	1926164	NAD SYNTHETASE 1	NADSYN1	608285;618845	VERTEBRAL, CARDIAC, RENAL, AND LIMB DEFECTS SYNDROME 3	VCRL3
492	NAGK	606828		NAGK	gene	55577	ENSG00000124357				chr2	ENSG00000124357	1860418	N-ACETYLGLUCOSAMINE KINASE	NAGK	606828		
493	NAMPT	608764		NAMPT	gene	10135	ENSG00000105835				chr7	ENSG00000105835	1929865	NICOTINAMIDE PHOSPHORIBOSYLTRANSFERASE	NAMPT	608764		
494	NANP	610763		NANP	gene	140838	ENSG00000170191				chr20	ENSG00000170191	1914561	N-ACETYLNEURAMINIC ACID PHOSPHATASE	NANP	610763		
495	NANS	605202	610442	NANS	gene	54187	ENSG00000095380	Spondyloepimetaphyseal dysplasia, Genevieve type, 610442 (3)	9q22.33	NANS	chr9	ENSG00000095380	2149820	N-ACETYLNEURAMINIC ACID PHOSPHATE SYNTHASE	NANS	605202;610442	SPONDYLOEPIMETAPHYSEAL DYSPLASIA, GENEVIEVE TYPE	SEMDG
496	NAPEPLD	612334		NAPEPLD	gene	222236	ENSG00000161048				chr7	ENSG00000161048	2140885	N-ACYL PHOSPHATIDYLETHANOLAMINE-HYDROLYZING PHOSPHOLIPASE D	NAPEPLD	612334		
497	NAPRT	611552		NAPRT	gene	93100	ENSG00000147813				chr8	ENSG00000147813	2442664	NICOTINATE PHOSPHORIBOSYLTRANSFERASE	NAPRT	611552		
498	NARS1	108410	619091	NARS1	gene	4677	ENSG00000134440	Neurodevelopmental disorder with microcephaly, impaired language, and gait abnormalities, autosomal recessive, 619091 (3)	18q21.31	NARS1	chr18	ENSG00000134440	1917473	ASPARAGINYL-tRNA SYNTHETASE 1	NARS1	108410;619091	NEURODEVELOPMENTAL DISORDER WITH MICROCEPHALY, IMPAIRED LANGUAGE, AND GAIT ABNORMALITIES	NEDMILG
499	NARS1	108410	619092	NARS1	gene	4677	ENSG00000134440	Neurodevelopmental disorder with microcephaly, impaired language, epilepsy, and gait abnormalities, autosomal dominant, 619092 (3)	18q21.31	NARS1	chr18	ENSG00000134440	1917473	ASPARAGINYL-tRNA SYNTHETASE 1	NARS1	108410;619092	NEURODEVELOPMENTAL DISORDER WITH MICROCEPHALY, IMPAIRED LANGUAGE, EPILEPSY, AND GAIT ABNORMALITIES	NEDMILEG
500	NAXD	615910	618321	NAXD	gene	55739	ENSG00000213995	Encephalopathy, progressive, early-onset, with brain edema and/or leukoencephalopathy, 2, 618321 (3)	13q34	NAXD	chr13	ENSG00000213995	1913353	NAD(P)HX DEHYDRATASE	NAXD	615910;618321	ENCEPHALOPATHY, PROGRESSIVE, EARLY-ONSET, WITH BRAIN EDEMA AND/OR LEUKOENCEPHALOPATHY, 2	PEBEL2
501	NAXE	608862	617186	NAXE	gene	128240	ENSG00000163382	Encephalopathy, progressive, early-onset, with brain edema and/or leukoencephalopathy, 617186 (3)	1q22	NAXE	chr1	ENSG00000163382	2180167	NAD(P)HX EPIMERASE	NAXE	608862;617186	ENCEPHALOPATHY, PROGRESSIVE, EARLY-ONSET, WITH BRAIN EDEMA AND/OR LEUKOENCEPHALOPATHY, 1	PEBEL1
502	NCEH1	613234		NCEH1	gene	57552	ENSG00000144959				chr3	ENSG00000144959	2443191	NEUTRAL CHOLESTEROL ESTER HYDROLASE 1	NCEH1	613234		
503	NIT1	604618		NIT1	gene	4817	ENSG00000158793				chr1	ENSG00000158793	1350916	NITRILASE 1	NIT1	604618		
504	NIT2	616769		NIT2	gene	56954	ENSG00000114021				chr3	ENSG00000114021	1261838	NITRILASE FAMILY MEMBER 2	NIT2	616769		
505	NME1	156490		NME1	gene	4830	ENSG00000239672				chr17	ENSG00000239672	97355	NME/NM23 NUCLEOSIDE DIPHOSPHATE KINASE 1	NME1	156490		
506	NME2	156491		NME2	gene	4831	ENSG00000243678				chr17	ENSG00000243678	97356	NME/NM23 NUCLEOSIDE DIPHOSPHATE KINASE 2	NME2	156491		
507	NME3	601817		NME3	gene	4832	ENSG00000103024				chr16	ENSG00000103024	1930182	NME/NM23 NUCLEOSIDE DIPHOSPHATE KINASE 3	NME3	601817		
508	NMNAT3	608702		NMNAT3	gene	349565	ENSG00000163864				chr3	ENSG00000163864	1921330	NICOTINAMIDE NUCLEOTIDE ADENYLYLTRANSFERASE 3	NMNAT3	608702		
509	NOS3	163729		NOS3	gene/phenotype	4846	ENSG00000164867	{Placental abruption} (3);{Coronary artery spasm 1, susceptibility to} (3)	7q36.1	NOS3	chr7	ENSG00000164867	97362	NITRIC OXIDE SYNTHASE 3	NOS3	163729		
510	NOS3	163729	104300	NOS3	gene/phenotype	4846	ENSG00000164867	{Alzheimer disease, late-onset, susceptibility to}, 104300 (3)	7q36.1	NOS3	chr7	ENSG00000164867	97362	NITRIC OXIDE SYNTHASE 3	NOS3	104300;163729	ALZHEIMER DISEASE, FAMILIAL, 1	AD1
511	NOS3	163729	145500	NOS3	gene/phenotype	4846	ENSG00000164867	{Hypertension, susceptibility to}, 145500 (3)	7q36.1	NOS3	chr7	ENSG00000164867	97362	NITRIC OXIDE SYNTHASE 3	NOS3	145500;163729	HYPERTENSION, ESSENTIAL	
512	NOS3	163729	189800	NOS3	gene/phenotype	4846	ENSG00000164867	{Hypertension, pregnancy-induced}, 189800 (3)	7q36.1	NOS3	chr7	ENSG00000164867	97362	NITRIC OXIDE SYNTHASE 3	NOS3	163729;189800	PREECLAMPSIA/ECLAMPSIA 1	PEE1
513	NOS3	163729	601367	NOS3	gene/phenotype	4846	ENSG00000164867	{Ischemic stroke, susceptibility to}, 601367 (3)	7q36.1	NOS3	chr7	ENSG00000164867	97362	NITRIC OXIDE SYNTHASE 3	NOS3	163729;601367	STROKE, ISCHEMIC	
514	NPEPPS	606793		NPEPPS	gene	9520	ENSG00000141279				chr17	ENSG00000141279	1101358	AMINOPEPTIDASE, PUROMYCIN-SENSITIVE	NPEPPS	606793		
515	NPL	611412		NPL	gene	80896	ENSG00000135838				chr1	ENSG00000135838	1921341	N-ACETYLNEURAMINATE PYRUVATE LYASE	NPL	611412		
516	NQO2	160998	114480	NQO2	gene	4835	ENSG00000124588	{?Breast cancer susceptibility}, 114480 (1)	6p25.2	NQO2	chr6	ENSG00000124588	104513	NAD(P)H DEHYDROGENASE, QUINONE 2	NQO2	114480;160998	BREAST CANCER	
517	NRAS	164790	114500	NRAS	gene	4893	ENSG00000213281	Colorectal cancer, somatic, 114500 (3)	1p13.2	NRAS	chr1	ENSG00000213281	97376	NRAS PROTOONCOGENE, GTPase	NRAS	114500;164790	COLORECTAL CANCER	CRC
518	NRAS	164790	137550	NRAS	gene	4893	ENSG00000213281	Melanocytic nevus syndrome, congenital, somatic, 137550 (3)	1p13.2	NRAS	chr1	ENSG00000213281	97376	NRAS PROTOONCOGENE, GTPase	NRAS	137550;164790	MELANOCYTIC NEVUS SYNDROME, CONGENITAL	CMNS
519	NRAS	164790	162900	NRAS	gene	4893	ENSG00000213281	Epidermal nevus, somatic, 162900 (3)	1p13.2	NRAS	chr1	ENSG00000213281	97376	NRAS PROTOONCOGENE, GTPase	NRAS	162900;164790	NEVUS, EPIDERMAL	
520	NRAS	164790	163200	NRAS	gene	4893	ENSG00000213281	Schimmelpenning-Feuerstein-Mims syndrome, somatic mosaic, 163200 (3)	1p13.2	NRAS	chr1	ENSG00000213281	97376	NRAS PROTOONCOGENE, GTPase	NRAS	163200;164790	SCHIMMELPENNING-FEUERSTEIN-MIMS SYNDROME	SFM
521	NRAS	164790	188470	NRAS	gene	4893	ENSG00000213281	Thyroid carcinoma, follicular, somatic, 188470 (3)	1p13.2	NRAS	chr1	ENSG00000213281	97376	NRAS PROTOONCOGENE, GTPase	NRAS	164790;188470	THYROID CANCER, NONMEDULLARY, 2	NMTC2
522	NRAS	164790	249400	NRAS	gene	4893	ENSG00000213281	Neurocutaneous melanosis, somatic, 249400 (3)	1p13.2	NRAS	chr1	ENSG00000213281	97376	NRAS PROTOONCOGENE, GTPase	NRAS	164790;249400	MELANOSIS, NEUROCUTANEOUS	NCMS
523	NRAS	164790	613224	NRAS	gene	4893	ENSG00000213281	Noonan syndrome 6, 613224 (3)	1p13.2	NRAS	chr1	ENSG00000213281	97376	NRAS PROTOONCOGENE, GTPase	NRAS	164790;613224	NOONAN SYNDROME 6	NS6
524	NRAS	164790	614470	NRAS	gene	4893	ENSG00000213281	?RAS-associated autoimmune lymphoproliferative syndrome type IV, somatic, 614470 (3)	1p13.2	NRAS	chr1	ENSG00000213281	97376	NRAS PROTOONCOGENE, GTPase	NRAS	164790;614470	RAS-ASSOCIATED AUTOIMMUNE LEUKOPROLIFERATIVE DISORDER	RALD
525	NSF	601633	619340	NSF	gene	4905	ENSG00000073969	Developmental and epileptic encephalopathy 96, 619340 (3)	17q21.31	NSF	chr17	ENSG00000073969	104560	N-ETHYLMALEIMIDE-SENSITIVE FACTOR	NSF	601633;619340	DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 96	DEE96
526	NT5C	191720		NT5C	gene	30833	ENSG00000125458				chr17	ENSG00000125458	1354954	5-PRIME,3-PRIME-NUCLEOTIDASE, CYTOSOLIC	NT5C	191720		
527	NT5C2	600417	613162	NT5C2	gene	22978	ENSG00000076685	Spastic paraplegia 45, autosomal recessive, 613162 (3)	10q24.32-q24.33	NT5C2	chr10	ENSG00000076685	2178563	5-PRIME-NUCLEOTIDASE, CYTOSOLIC II	NT5C2	600417;613162	SPASTIC PARAPLEGIA 45, AUTOSOMAL RECESSIVE	SPG45
528	NT5C3A	606224	266120	NT5C3A	gene	51251	ENSG00000122643	Anemia, hemolytic, due to UMPH1 deficiency, 266120 (3)	7p14.3	NT5C3A	chr7	ENSG00000122643	1927186	5-PRIME-NUCLEOTIDASE, CYTOSOLIC IIIA	NT5C3A	266120;606224	URIDINE 5-PRIME MONOPHOSPHATE HYDROLASE DEFICIENCY, HEMOLYTIC ANEMIA DUE TO	
529	NUDT2	602852	619844	NUDT2	gene	318	ENSG00000164978	Intellectual developmental disorder with or without peripheral neuropathy, 619844 (3)	9p13.3	NUDT2	chr9	ENSG00000164978	1913651	NUDIX HYDROLASE 2	NUDT2	602852;619844	INTELLECTUAL DEVELOPMENTAL DISORDER WITH OR WITHOUT PERIPHERAL NEUROPATHY	IDDPN
530	NUDT3	609228		NUDT3	gene	11165	ENSG00000272325				chr6	ENSG00000272325	1928484	NUDIX HYDROLASE 3	NUDT3	609228		
531	NUDT4	609229		NUDT4	gene	11163	ENSG00000173598				chr12	ENSG00000173598	1918457	NUDIX HYDROLASE 4	NUDT4	609229		
532	NUDT5	609230		NUDT5	gene	11164	ENSG00000165609				chr10	ENSG00000165609	1858232	NUDIX HYDROLASE 5	NUDT5	609230		
533	OARD1	614393		OARD1	gene	221443	ENSG00000124596				chr6	ENSG00000124596	2146818	O-ACYL-ADP-RIBOSE DEACYLASE 1	OARD1	614393		
534	ODC1	165640	619075	ODC1	gene	4953	ENSG00000115758	Bachmann-Bupp syndrome, 619075 (3)	2p25.1	ODC1	chr2	ENSG00000115758	97402	ORNITHINE DECARBOXYLASE 1	ODC1	165640;619075	BACHMANN-BUPP SYNDROME	BABS
535	OGA	604039		OGA	gene	10724	ENSG00000198408				chr10	ENSG00000198408	1932139	O-GlcNAcase	OGA	604039		
536	OGT	300255	300997	OGT	gene	8473	ENSG00000147162	Intellectual developmental disorder, X-linked 106, 300997 (3)	Xq13.1	OGT	chrX	ENSG00000147162	1339639	O-LINKED N-ACETYLGLUCOSAMINE TRANSFERASE	OGT	300255;300997	INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED 106	XLID106
537	OXSR1	604046		OXSR1	gene	9943	ENSG00000172939				chr3	ENSG00000172939	1917378	OXIDATIVE STRESS-RESPONSIVE 1	OXSR1	604046		
538	P2RX1	600845		P2RX1	gene	5023	ENSG00000108405				chr17	ENSG00000108405	1098235	PURINERGIC RECEPTOR P2X, LIGAND-GATED ION CHANNEL, 1	P2RX1	600845		
539	P2RX2	600844	608224	P2RX2	gene	22953	ENSG00000187848	Deafness, autosomal dominant 41, 608224 (3)	12q24.33	P2RX2	chr12	ENSG00000187848	2665170	PURINERGIC RECEPTOR P2X, LIGAND-GATED ION CHANNEL, 2	P2RX2	600844;608224	DEAFNESS, AUTOSOMAL DOMINANT 41	DFNA41
540	P2RX7	602566		P2RX7	gene	5027	ENSG00000089041				chr12	ENSG00000089041	1339957	PURINERGIC RECEPTOR P2X, LIGAND-GATED ION CHANNEL, 7	P2RX7	602566		
541	P4HB	176790	112240	P4HB	gene	5034	ENSG00000185624	Cole-Carpenter syndrome 1, 112240 (3)	17q25.3	P4HB	chr17	ENSG00000185624	97464	PROCOLLAGEN-PROLINE, 2-OXOGLUTARATE-4-DIOXYGENASE, BETA SUBUNIT	P4HB	112240;176790	COLE-CARPENTER SYNDROME 1	CLCRP1
542	PAFAH1B1	601545	607432	PAFAH1B1	gene	5048	ENSG00000007168	Lissencephaly 1, 607432 (3);Subcortical laminar heterotopia, 607432 (3)	17p13.3	PAFAH1B1	chr17	ENSG00000007168	109520	PLATELET-ACTIVATING FACTOR ACETYLHYDROLASE, ISOFORM 1B, ALPHA SUBUNIT	PAFAH1B1	601545;607432	LISSENCEPHALY 1	LIS1
543	PAFAH1B2	602508		PAFAH1B2	gene	5049	ENSG00000168092				chr11	ENSG00000168092	108415	PLATELET-ACTIVATING FACTOR ACETYLHYDROLASE, ISOFORM 1B, BETA SUBUNIT	PAFAH1B2	602508		
544	PAFAH1B3	603074		PAFAH1B3	gene	5050	ENSG00000079462				chr19	ENSG00000079462	108414	PLATELET-ACTIVATING FACTOR ACETYLHYDROLASE, ISOFORM 1B, GAMMA SUBUNIT	PAFAH1B3	603074		
545	PAICS	172439	619859	PAICS	gene	10606	ENSG00000128050	?Phosphoribosylaminoimidazole carboxylase deficiency, 619859 (3)	4q12	PAICS	chr4	ENSG00000128050	1914304	PHOSPHORIBOSYLAMINOIMIDAZOLE CARBOXYLASE	PAICS	172439;619859	PHOSPHORIBOSYLAMINOIMIDAZOLE CARBOXYLASE DEFICIENCY	PAICSD
546	PAK2	605022	618458	PAK2	gene	5062	ENSG00000180370	?Knobloch syndrome 2, 618458 (3)	3q29	PAK2	chr3	ENSG00000180370	1339984	p21 PROTEIN-ACTIVATED KINASE 2	PAK2	605022;618458	KNOBLOCH SYNDROME 2	KNO2
547	PANK2	606157	234200	PANK2	gene	80025	ENSG00000125779	Neurodegeneration with brain iron accumulation 1, 234200 (3)	20p13	PANK2	chr20	ENSG00000125779	1921700	PANTOTHENATE KINASE 2	PANK2	234200;606157	NEURODEGENERATION WITH BRAIN IRON ACCUMULATION 1	NBIA1
548	PANK4	606162	619593	PANK4	gene	55229	ENSG00000157881	?Cataract 49, 619593 (3)	1p36.32	PANK4	chr1	ENSG00000157881	2387466	PANTOTHENATE KINASE 4	PANK4	606162;619593	CATARACT 49	CTRCT49
549	PANX1	608420	618550	PANX1	gene	24145	ENSG00000110218	Oocyte/zygote/embryo maturation arrest 7, 618550 (3)	11q21	PANX1	chr11	ENSG00000110218	1860055	PANNEXIN 1	PANX1	608420;618550	OOCYTE/ZYGOTE/EMBRYO MATURATION ARREST 7	OZEMA7
550	PARK7	602533	606324	PARK7	gene	11315	ENSG00000116288	Parkinson disease 7, autosomal recessive early-onset, 606324 (3)	1p36.23	DJ1	chr1	ENSG00000116288	2135637	ONCOGENE DJ1	DJ1	602533;606324	PARKINSON DISEASE 7, AUTOSOMAL RECESSIVE EARLY-ONSET	PARK7
551	PCBD1	126090	264070	PCBD1	gene	5092	ENSG00000166228	Hyperphenylalaninemia, BH4-deficient, D, 264070 (3)	10q22.1	PCBD1	chr10	ENSG00000166228	94873	PTERIN-4-ALPHA-CARBINOLAMINE DEHYDRATASE 1	PCBD1	126090;264070	HYPERPHENYLALANINEMIA, BH4-DEFICIENT, D	HPABH4D
552	PCBD2	609836		PCBD2	gene	84105	ENSG00000132570				chr5	ENSG00000132570	1919812	PTERIN-4-ALPHA-CARBINOLAMINE DEHYDRATASE 2	PCBD2	609836		
553	PCK1	614168	261680	PCK1	gene	5105	ENSG00000124253	Phosphoenolpyruvate carboxykinase deficiency, cytosolic, 261680 (3)	20q13.31	PCK1	chr20	ENSG00000124253	97501	PHOSPHOENOLPYRUVATE CARBOXYKINASE 1, SOLUBLE	PCK1	261680;614168	PHOSPHOENOLPYRUVATE CARBOXYKINASE DEFICIENCY, CYTOSOLIC	PCKDC
554	PCMT1	176851		PCMT1	gene	5110	ENSG00000120265				chr6	ENSG00000120265	97502	PROTEIN-L-ISOASPARTATE (D-ASPARTATE) O-METHYLTRANSFERASE	PCMT1	176851		
555	PCYT1A	123695	608940	PCYT1A	gene	5130	ENSG00000161217	Spondylometaphyseal dysplasia with cone-rod dystrophy, 608940 (3)	3q29	PCYT1A	chr3	ENSG00000161217	88557	PHOSPHATE CYTIDYLYLTRANSFERASE 1, CHOLINE, ALPHA ISOFORM	PCYT1A	123695;608940	SPONDYLOMETAPHYSEAL DYSPLASIA WITH CONE-ROD DYSTROPHY	SMDCRD
556	PCYT1A	123695	620680	PCYT1A	gene	5130	ENSG00000161217	Lipodystrophy, congenital generalized, type 5, 620680 (3)	3q29	PCYT1A	chr3	ENSG00000161217	88557	PHOSPHATE CYTIDYLYLTRANSFERASE 1, CHOLINE, ALPHA ISOFORM	PCYT1A	123695;620680	LIPODYSTROPHY, CONGENITAL GENERALIZED, TYPE 5	CGL5
557	PCYT1B	300948		PCYT1B	gene	9468	ENSG00000102230				chrX	ENSG00000102230	2147987	PHOSPHATE CYTIDYLYLTRANSFERASE 1, CHOLINE, BETA ISOFORM	PCYT1B	300948		
558	PCYT2	602679	618770	PCYT2	gene	5833	ENSG00000185813	Spastic paraplegia 82, autosomal recessive, 618770 (3)	17q25.3	PCYT2	chr17	ENSG00000185813	1915921	PHOSPHATE CYTIDYLYLTRANSFERASE 2, ETHANOLAMINE	PCYT2	602679;618770	SPASTIC PARAPLEGIA 82, AUTOSOMAL RECESSIVE	SPG82
559	PDE1A	171890		PDE1A	gene	5136	ENSG00000115252				chr2	ENSG00000115252	1201792	PHOSPHODIESTERASE 1A	PDE1A	171890		
560	PDE2A	602658	619150	PDE2A	gene	5138	ENSG00000186642	Intellectual developmental disorder with paroxysmal dyskinesia or seizures, 619150 (3)	11q13.4	PDE2A	chr11	ENSG00000186642	2446107	PHOSPHODIESTERASE 2A	PDE2A	602658;619150	INTELLECTUAL DEVELOPMENTAL DISORDER WITH PAROXYSMAL DYSKINESIA OR SEIZURES	IDDPADS
561	PDE3A	123805	112410	PDE3A	gene	5139	ENSG00000172572	Hypertension and brachydactyly syndrome, 112410 (3)	12p12.2	PDE3A	chr12	ENSG00000172572	1860764	PHOSPHODIESTERASE 3A	PDE3A	112410;123805	HYPERTENSION AND BRACHYDACTYLY SYNDROME	HTNB
562	PDE3B	602047		PDE3B	gene	5140	ENSG00000152270				chr11	ENSG00000152270	1333863	PHOSPHODIESTERASE 3B	PDE3B	602047		
563	PDE4D	600129	614613	PDE4D	gene	5144	ENSG00000113448	Acrodysostosis 2, with or without hormone resistance, 614613 (3)	5q11.2-q12.1	PDE4D	chr5	ENSG00000113448	99555	PHOSPHODIESTERASE 4D	PDE4D	600129;614613	ACRODYSOSTOSIS 2 WITH OR WITHOUT HORMONE RESISTANCE	ACRDYS2
564	PDE5A	603310		PDE5A	gene	8654	ENSG00000138735				chr4	ENSG00000138735	2651499	PHOSPHODIESTERASE 5A	PDE5A	603310		
565	PDE9A	602973		PDE9A	gene	5152	ENSG00000160191				chr21	ENSG00000160191	1277179	PHOSPHODIESTERASE 9A	PDE9A	602973		
566	PDIA3	602046		PDIA3	gene	2923	ENSG00000167004				chr15	ENSG00000167004	95834	PROTEIN DISULFIDE ISOMERASE, FAMILY A, MEMBER 3	PDIA3	602046		
567	PDIA4	620018		PDIA4	gene	9601	ENSG00000155660				chr7	ENSG00000155660	104864	PROTEIN DISULFIDE ISOMERASE, FAMILY A, MEMBER 4	PDIA4	620018		
568	PDIA6	611099		PDIA6	gene	10130	ENSG00000143870				chr2	ENSG00000143870	1919103	PROTEIN DISULFIDE ISOMERASE, FAMILY A, MEMBER 6	PDIA6	611099		
569	PDXK	179020	618511	PDXK	gene	8566	ENSG00000160209	Neuropathy, hereditary motor and sensory, type VIC, with optic atrophy, 618511 (3)	21q22.3	PDXK	chr21	ENSG00000160209	1351869	PYRIDOXAL KINASE	PDXK	179020;618511	NEUROPATHY, HEREDITARY MOTOR AND SENSORY, TYPE VIC, WITH OPTIC ATROPHY	HMSN6C
570	PDXP	609246		PDXP	gene	57026	ENSG00000241360				chr22	ENSG00000241360	1919282	PYRIDOXAL PHOSPHATASE	PDXP	609246		
