	Entry	Gene Names (primary)	Organism (ID)	Alternative products (isoforms)	EC number	Rhea ID	UniParc	Gene Ontology IDs	Chain	PubMed ID	CCDS	EMBL	RefSeq	BMRB	PDB	SASBDB	SMR	BioGRID	CORUM	ComplexPortal	DIP	ELM	IntAct	MINT	STRING	BindingDB	ChEMBL	DrugBank	DrugCentral	GuidetoPHARMACOLOGY	SwissLipids	Allergome	CAZy	IDEAL	MEROPS	PeroxiBase	REBASE	TCDB	DEPOD	PhosphoSitePlus	dbSNP	COMPLUYEAST-2DPAGE	EPD	MassIVE	MaxQB	PRIDE	PaxDb	PeptideAtlas	ProteomicsDB	Ensembl	EnsemblBacteria	EnsemblFungi	EnsemblMetazoa	EnsemblPlants	EnsemblProtists	GeneID	Gramene	KEGG	VectorBase	WBParaSite	ArachnoServer	CGD	ConoServer	CTD	dictyBase	EchoBASE	GeneCards	HGNC	HPA	MGI	MIM	neXtProt	Orphanet	PharmGKB	PomBase	RGD	SGD	TAIR	TubercuList	VGNC	WormBase	Xenbase	ZFIN	eggNOG	GeneTree	HOGENOM	OMA	OrthoDB	PhylomeDB	TreeFam	BioCyc	BRENDA	PathwayCommons	Reactome	SIGNOR	GeneWiki	Bgee	ExpressionAtlas	CDD	DisProt	HAMAP	InterPro	PANTHER	Pfam	PIRSF	PRINTS	PROSITE	SMART	SUPFAM
551	Q9BWD1	ACAT2	9606	ALTERNATIVE PRODUCTS:  Event=Alternative splicing; Named isoforms=2; Name=1; IsoId=Q9BWD1-1; Sequence=Displayed; Name=2; IsoId=Q9BWD1-2; Sequence=VSP_056217;	2.3.1.9	RHEA:21036	UPI000013CA85	GO:0003985; GO:0005737; GO:0005739; GO:0005829; GO:0006629; GO:0006635; GO:0070062	"CHAIN 1..397; /note=""Acetyl-CoA acetyltransferase, cytosolic""; /id=""PRO_0000206409"""	7911016; 14702039; 14574404; 15489334; 19413330; 19608861; 21269460; 22223895; 22814378; 24275569; 25944712; 15733928	CCDS5268.1 [Q9BWD1-1];	S70154;AF356877;AK294273;AL135914;CH471051;CH471051;BC000408;	NP_001290182.1 [Q9BWD1-2];NP_005882.2 [Q9BWD1-1];		1WL4;1WL5;		Q9BWD1;	106557;					Q9BWD1;	Q9BWD1;	9606.ENSP00000356015;			DB01992;DB01915;		2436;	SLP:000001266;									Q9BWD1;	rs25683		Q9BWD1;	Q9BWD1;	Q9BWD1;		9606-ENSP00000356015;	Q9BWD1;	6403;79268 [Q9BWD1-1];	ENST00000367048.5 [Q9BWD1-1];						39;		hsa:39;						39;			ACAT2;	HGNC:94;	ENSG00000120437;		100678;	NX_Q9BWD1;		PA19;										KOG1390;	ENSGT01030000234626;	CLU_031026_0_0_1;	ICPSIAI;	5481312at2759;	Q9BWD1;	TF300650;	MetaCyc:ENSG00000120437-MONOMER;	2.3.1.9;	Q9BWD1;	R-HSA-191273;		ACAT2;	ENSG00000120437;		cd00751;			IPR002155;IPR016039;IPR020610;IPR020617;IPR020613;IPR020616;	PTHR18919:SF81;PTHR18919;	PF02803;PF00108;	PIRSF000429;		PS00737;PS00099;		SSF53901;
552	Q9BXD5	NPL	9606	ALTERNATIVE PRODUCTS:  Event=Alternative splicing; Named isoforms=5; Name=1; IsoId=Q9BXD5-1; Sequence=Displayed; Name=2; IsoId=Q9BXD5-2; Sequence=VSP_022518; Name=3; IsoId=Q9BXD5-3; Sequence=VSP_022522; Name=4; IsoId=Q9BXD5-4; Sequence=VSP_022521, VSP_022522; Name=5; IsoId=Q9BXD5-5; Sequence=VSP_022519, VSP_022520;	4.1.3.3	RHEA:23296	UPI00000728AB	GO:0005829; GO:0005975; GO:0008747; GO:0019262; GO:0042802	"CHAIN 1..320; /note=""N-acetylneuraminate lyase""; /id=""PRO_0000273352"""	11318611; 16147865; 14702039; 16710414; 15489334; 22692205; 33895133	CCDS1350.1 [Q9BXD5-1];CCDS55666.1 [Q9BXD5-4];CCDS55667.1 [Q9BXD5-2];	AF338436;AY336748;AK313225;AL355999;AL513344;BC034966;BC042003;BC058003;BC125051;	NP_001186979.1 [Q9BXD5-2];NP_001186980.1 [Q9BXD5-4];NP_001186985.1 [Q9BXD5-3];NP_110396.1 [Q9BXD5-1];		6ARH;		Q9BXD5;	123344;					Q9BXD5;		9606.ENSP00000258317;															Q9BXD5;				Q9BXD5;	Q9BXD5;		9606-ENSP00000258317;	Q9BXD5;	79405 [Q9BXD5-1];79406 [Q9BXD5-2];79407 [Q9BXD5-3];79408 [Q9BXD5-4];79409 [Q9BXD5-5];	ENST00000258317.6 [Q9BXD5-1];ENST00000367552.6 [Q9BXD5-4];ENST00000367553.6 [Q9BXD5-1];ENST00000367554.7 [Q9BXD5-2];ENST00000367555.5 [Q9BXD5-4];						80896;		hsa:80896;						80896;			NPL;	HGNC:16781;	ENSG00000135838;		611412;	NX_Q9BXD5;		PA25602;										ENOG502QQA3;	ENSGT00530000063604;	CLU_924263_0_0_1;	LPPMRYK;	101328at2759;	Q9BXD5;	TF353639;		4.1.3.3;	Q9BXD5;	R-HSA-4085001;			ENSG00000135838;	Q9BXD5;	cd00954;			IPR013785;IPR002220;IPR005264;	PTHR12128;PTHR12128:SF21;	PF00701;	PIRSF001365;	PR00146;		SM01130;	SSF51569;
553	Q9BXS9	SLC26A6	9606	ALTERNATIVE PRODUCTS:  Event=Alternative splicing; Named isoforms=7; Name=1; Synonyms=SLC26A6b; IsoId=Q9BXS9-1; Sequence=Displayed; Name=2; IsoId=Q9BXS9-2; Sequence=VSP_006169; Name=3; IsoId=Q9BXS9-3; Sequence=VSP_040127; Name=4; Synonyms=SLC26A6a {ECO:0000303|PubMed:12444019}; IsoId=Q9BXS9-4; Sequence=VSP_046807, VSP_040127; Name=5; Synonyms=SLC26A6c {ECO:0000303|PubMed:12444019}; IsoId=Q9BXS9-5; Sequence=VSP_046807, VSP_047851, VSP_040127; Name=6; Synonyms=SLC26A6d {ECO:0000303|PubMed:12444019}; IsoId=Q9BXS9-6; Sequence=VSP_046807, VSP_047852; Name=7; IsoId=Q9BXS9-7; Sequence=VSP_055273, VSP_055274;		RHEA:72207 RHEA:72263 RHEA:72271 RHEA:72275 RHEA:72207 RHEA:72387 RHEA:72207 RHEA:72387 RHEA:72207 RHEA:72387	UPI0000135460	GO:0005254; GO:0005452; GO:0005783; GO:0005829; GO:0005886; GO:0006811; GO:0006821; GO:0008271; GO:0008272; GO:0012506; GO:0015106; GO:0015108; GO:0015116; GO:0015383; GO:0015499; GO:0015562; GO:0015701; GO:0015724; GO:0015797; GO:0016020; GO:0016323; GO:0016324; GO:0016740; GO:0019531; GO:0019532; GO:0030165; GO:0030321; GO:0030659; GO:0031526; GO:0031982; GO:0034707; GO:0038166; GO:0042045; GO:0042802; GO:0044849; GO:0046724; GO:0048240; GO:0050892; GO:0051453; GO:0051454; GO:0051649; GO:0070528; GO:0070633; GO:0071320; GO:0071332; GO:0071346; GO:0097225; GO:0140900; GO:2001150	"CHAIN 1..759; /note=""Solute carrier family 26 member 6""; /id=""PRO_0000080171"""	11087667; 11247665; 12217875; 14702039; 16641997; 15489334; 12444019; 15990874; 17081983; 18655181; 20501439; 19690332; 20068231; 27681177	CCDS43087.1 [Q9BXS9-1];CCDS46824.1 [Q9BXS9-2];CCDS46825.1 [Q9BXS9-3];CCDS63628.1 [Q9BXS9-7];	AF279265;AF288410;AF416721;AB033288;AK297695;AC121252;CH471055;CH471055;BC017697;	NP_001035544.1;NP_001268661.1 [Q9BXS9-7];NP_001268662.1;NP_075062.2 [Q9BXS9-1];NP_599025.2 [Q9BXS9-3];NP_602298.2 [Q9BXS9-2];		8OPQ;		Q9BXS9;	122373;					Q9BXS9;		9606.ENSP00000378920;													2.A.53.2.7;		Q9BXS9;	rs13324142		Q9BXS9;	Q9BXS9;	Q9BXS9;		9606-ENSP00000378920;	Q9BXS9;	4656;79499 [Q9BXS9-1];79500 [Q9BXS9-2];79501 [Q9BXS9-3];82188;	ENST00000383733.7 [Q9BXS9-2];ENST00000395550.7 [Q9BXS9-1];ENST00000420764.6 [Q9BXS9-3];ENST00000455886.6 [Q9BXS9-7];						65010;		hsa:65010;						65010;			SLC26A6;	HGNC:14472;	ENSG00000225697;		610068;	NX_Q9BXS9;		PA37889;										KOG0236;	ENSGT01070000253775;	CLU_003182_9_4_1;	FMTICNE;	1067648at2759;	Q9BXS9;	TF313784;			Q9BXS9;	R-HSA-427601;		SLC26A6;	ENSG00000225697;	Q9BXS9;	cd07042;			IPR018045;IPR011547;IPR001902;IPR002645;IPR036513;	PTHR11814:SF113;PTHR11814;	PF01740;PF00916;			PS01130;PS50801;		SSF52091;
554	Q9BY32	ITPA	9606	ALTERNATIVE PRODUCTS:  Event=Alternative splicing; Named isoforms=3; Name=1; IsoId=Q9BY32-1; Sequence=Displayed; Name=2; IsoId=Q9BY32-2; Sequence=VSP_042548; Name=3; IsoId=Q9BY32-3; Sequence=VSP_045545;	3.6.1.9	RHEA:23996 RHEA:44644 RHEA:29399 RHEA:28342 RHEA:28610	UPI0000072BC2	GO:0000166; GO:0005654; GO:0005737; GO:0005829; GO:0006193; GO:0009143; GO:0009204; GO:0035870; GO:0036220; GO:0036222; GO:0042802; GO:0043231; GO:0046872; GO:0047429; GO:0051276	"CHAIN 2..194; /note=""Inosine triphosphate pyrophosphatase""; /id=""PRO_0000178280"""	11278832; 11780052; 15489334; 17090528; 21269460; 26224535; 17077483; 17138556; 12384777; 12436200	CCDS13051.1 [Q9BY32-1];CCDS46576.1 [Q9BY32-2];CCDS58762.1 [Q9BY32-3];	AF219116;AF063607;AF026816;EF199841;EF213026;AB062127;AL109976;AL121891;CH471133;BC010138;BI115811;	NP_001254552.1 [Q9BY32-3];NP_258412.1 [Q9BY32-1];NP_852470.1 [Q9BY32-2];		2CAR;2I5D;2J4E;4F95;		Q9BY32;	109909;					Q9BY32;		9606.ENSP00000369456;	Q9BY32;	CHEMBL4105788;	DB00993;DB04272;												Q9BY32;	rs1127354 rs746930990		Q9BY32;	Q9BY32;	Q9BY32;		9606-ENSP00000369456;	Q9BY32;	216;79572 [Q9BY32-1];79573 [Q9BY32-2];	ENST00000380113.8 [Q9BY32-1];ENST00000399838.3 [Q9BY32-3];ENST00000455664.6 [Q9BY32-2];						3704;		hsa:3704;						3704;			ITPA;	HGNC:6176;	ENSG00000125877;		147520;613850;616647;	NX_Q9BY32;	457375;	PA29973;										KOG3222;	ENSGT00390000015399;	CLU_082080_1_1_1;	YDPIFQP;	479at2759;	Q9BY32;	TF105614;		3.6.1.66;3.6.1.9;	Q9BY32;	R-HSA-74259;R-HSA-9755088;		ITPA;	ENSG00000125877;	Q9BY32;	cd00515;		MF_03148;	IPR027502;IPR029001;IPR002637;	PTHR11067:SF9;PTHR11067;	PF01725;					SSF52972;
555	Q9BYN0	SRXN1	9606	ALTERNATIVE PRODUCTS:  	1.8.98.2	RHEA:17545	UPI000000DC3B	GO:0005524; GO:0005737; GO:0005789; GO:0005829; GO:0006979; GO:0016667; GO:0032542; GO:0034599	"CHAIN 1..137; /note=""Sulfiredoxin-1""; /id=""PRO_0000211431"""	14702039; 17974005; 11780052; 15489334; 15448164; 15590625; 21269460; 23186163; 24275569; 24129315; 15952770	CCDS13005.1;	AK312054;AL833944;AL121758;BC017001;BC032604;BC047707;	NP_542763.1;	Q9BYN0;	1XW3;1XW4;1YZS;2B6F;2RII;3CYI;3HY2;7LJ1;		Q9BYN0;	126716;	Q9BYN0;		DIP-59836N;		Q9BYN0;		9606.ENSP00000371388;															Q9BYN0;			Q9BYN0;	Q9BYN0;	Q9BYN0;		9606-ENSP00000371388;	Q9BYN0;	79670;	ENST00000381962.4;						140809;		hsa:140809;						140809;			SRXN1;	HGNC:16132;	ENSG00000271303;		617583;	NX_Q9BYN0;		PA25681;										KOG3388;	ENSGT00390000007832;	CLU_124532_1_0_1;	IRPFPPV;	5482730at2759;	Q9BYN0;	TF300230;		1.8.98.2;	Q9BYN0;	R-HSA-9818027;		SRXN1;	ENSG00000271303;		cd16395;			IPR003115;IPR036086;IPR016692;	PTHR21348:SF2;PTHR21348;		PIRSF017267;			SM00470;	SSF110849;
556	Q9BZ23	PANK2	9606	ALTERNATIVE PRODUCTS:  Event=Alternative splicing, Alternative initiation; Named isoforms=4; Name=1; IsoId=Q9BZ23-1; Sequence=Displayed; Name=3; IsoId=Q9BZ23-2; Sequence=VSP_007424; Name=2; IsoId=Q9BZ23-3; Sequence=VSP_018825; Name=4; IsoId=Q9BZ23-4; Sequence=VSP_038494, VSP_038495;	2.7.1.33	RHEA:16373 RHEA:16373	UPI000036701A	GO:0001525; GO:0004594; GO:0005524; GO:0005634; GO:0005739; GO:0005758; GO:0005829; GO:0007286; GO:0009060; GO:0015937; GO:0015939; GO:0016310; GO:0019217; GO:0051881; GO:0070584; GO:0090207; GO:1904251	"CHAIN 32..570; /note=""Pantothenate kinase 2, mitochondrial intermediate form""; /evidence=""ECO:0000269|PubMed:15659606""; /id=""PRO_0000023201""; CHAIN 141..570; /note=""Pantothenate kinase 2, mitochondrial mature form""; /evidence=""ECO:0000269|PubMed:15659606""; /id=""PRO_0000452676"""	12554685; 14702039; 11780052; 17974005; 15659606; 11479594; 12058097; 17825826; 17242360; 18691976; 18669648; 19690332; 20068231; 21406692; 23152917; 23186163; 24275569; 30221726; 12510040; 15834858; 16272150; 24075960; 22930366; 24655737; 27185474	CCDS13071.2 [Q9BZ23-1];CCDS13072.1 [Q9BZ23-2];CCDS93004.1 [Q9BZ23-4];	AF494409;AK021791;AK097796;EU595875;AL031670;AL353194;CH471133;CH471133;AL713654;BK000010;	NP_001311120.1 [Q9BZ23-2];NP_079236.3 [Q9BZ23-2];NP_705902.2 [Q9BZ23-1];NP_705904.1 [Q9BZ23-2];XP_005260893.3;		5E26;		Q9BZ23;	123079;					Q9BZ23;	Q9BZ23;	9606.ENSP00000313377;	Q9BZ23;	CHEMBL3407327;													Q9BZ23;	rs71647827 rs71647828 rs3737084 rs765679726 rs137852965 rs137852961 rs137852966 rs1348762206 rs137852962 rs974575417 rs768230831 rs137852964 rs746484727 rs754521581 rs759223327 rs752078407 rs750176786 rs1064794317 rs1012947103 rs137852963 rs759332123 rs775459398 rs767653843 rs137852959 rs137852967 rs1324077575 rs41279408		Q9BZ23;	Q9BZ23;	Q9BZ23;		9606-ENSP00000313377;	Q9BZ23;	79754 [Q9BZ23-1];79755 [Q9BZ23-2];79756 [Q9BZ23-3];79757 [Q9BZ23-4];	ENST00000316562.9 [Q9BZ23-1];ENST00000497424.5 [Q9BZ23-2];ENST00000610179.7 [Q9BZ23-4];ENST00000621507.1 [Q9BZ23-2];						80025;		hsa:80025;						80025;			PANK2;	HGNC:15894;	ENSG00000125779;		234200;606157;607236;	NX_Q9BZ23;	216873;216866;	PA38048;										KOG2201;	ENSGT00940000157626;	CLU_011154_0_1_1;	WSKGAKQ;	167164at2759;	Q9BZ23;	TF314866;	MetaCyc:HS13177-MONOMER;	2.7.1.33;	Q9BZ23;	R-HSA-196783;		PANK2_(gene);	ENSG00000125779;	Q9BZ23;				IPR043129;IPR004567;	PTHR12280;PTHR12280:SF25;	PF03630;					SSF53067;
557	Q9C0B5	ZDHHC5	9606	ALTERNATIVE PRODUCTS:  Event=Alternative splicing; Named isoforms=2; Name=1; IsoId=Q9C0B5-1; Sequence=Displayed; Name=2; IsoId=Q9C0B5-2; Sequence=VSP_006935;	2.3.1.225	RHEA:36683	UPI0000049DA3	GO:0000139; GO:0005654; GO:0005886; GO:0006869; GO:0009986; GO:0016020; GO:0016409; GO:0018345; GO:0019706; GO:0030425; GO:0045087; GO:0045335; GO:0062208; GO:0072659; GO:0098978; GO:0098982; GO:0099072; GO:0099091; GO:1903078; GO:1905171	"CHAIN 1..715; /note=""Palmitoyltransferase ZDHHC5""; /id=""PRO_0000212868"""	11214970; 14702039; 15489334; 17974005; 15144186; 17081983; 18220336; 18691976; 18669648; 19413330; 19690332; 20068231; 21820437; 21406692; 23186163; 24275569; 24129315; 26334723; 29185452; 31402609; 31649195; 32958780; 34293401	CCDS7965.1 [Q9C0B5-1];	AB051535;AY894889;AK023130;AK172807;CH471076;BC026967;AL117662;	NP_056272.2 [Q9C0B5-1];XP_011543201.1 [Q9C0B5-1];XP_011543202.1 [Q9C0B5-1];XP_011543203.1 [Q9C0B5-1];					117422;					Q9C0B5;	Q9C0B5;	9606.ENSP00000287169;															Q9C0B5;			Q9C0B5;	Q9C0B5;	Q9C0B5;		9606-ENSP00000287169;	Q9C0B5;	79989 [Q9C0B5-1];79990 [Q9C0B5-2];	ENST00000287169.8 [Q9C0B5-1];ENST00000527985.5 [Q9C0B5-2];						25921;		hsa:25921;						25921;			ZDHHC5;	HGNC:18472;	ENSG00000156599;		614586;	NX_Q9C0B5;		PA38338;										KOG1311;	ENSGT00940000156001;	CLU_013779_0_0_1;	LAPRYMG;	5480099at2759;	Q9C0B5;	TF354263;		2.3.1.225;	Q9C0B5;	R-HSA-9694548;	Q9C0B5;		ENSG00000156599;	Q9C0B5;				IPR001594;	PTHR12349;PTHR12349:SF3;	PF01529;			PS50216;
558	Q9H008	LHPP	9606	ALTERNATIVE PRODUCTS:  Event=Alternative splicing; Named isoforms=2; Name=1; IsoId=Q9H008-1; Sequence=Displayed; Name=2; IsoId=Q9H008-2; Sequence=VSP_041685, VSP_041686;	3.1.3.-; 3.6.1.1	RHEA:24576	UPI00001402EE	GO:0004427; GO:0005634; GO:0005829; GO:0006796; GO:0016311; GO:0016607; GO:0016791; GO:0042803; GO:0046872	"CHAIN 1..270; /note=""Phospholysine phosphohistidine inorganic pyrophosphate phosphatase""; /id=""PRO_0000305074"""	12801912; 14702039; 15164054; 15489334; 16430861; 24275569	CCDS53587.1 [Q9H008-2];CCDS7640.1 [Q9H008-1];	AB049629;AK055532;AL513190;AL391708;AL445237;BC110344;BC113629;BC113631;	NP_001161352.1 [Q9H008-2];NP_001305260.1;NP_001305261.1;NP_071409.3 [Q9H008-1];		2X4D;		Q9H008;	122044;					Q9H008;		9606.ENSP00000357835;		CHEMBL5169196;												LHPP;	Q9H008;	rs6597801		Q9H008;	Q9H008;	Q9H008;		9606-ENSP00000357835;	Q9H008;	80192 [Q9H008-1];80193 [Q9H008-2];	ENST00000368839.1 [Q9H008-2];ENST00000368842.10 [Q9H008-1];						64077;		hsa:64077;						64077;			LHPP;	HGNC:30042;	ENSG00000107902;		617231;	NX_Q9H008;		PA165548763;										KOG3040;	ENSGT00940000159002;	CLU_043473_4_1_1;	GPCIDVG;	2876640at2759;	Q9H008;	TF314344;		3.9.1.3;	Q9H008;	R-HSA-71737;			ENSG00000107902;	Q9H008;	cd07509;			IPR036412;IPR006357;IPR023214;IPR006355;	PTHR19288;PTHR19288:SF44;	PF13344;PF13242;					SSF56784;
559	Q9H015	SLC22A4	9606	ALTERNATIVE PRODUCTS:  		RHEA:75843 RHEA:74663 RHEA:72091 RHEA:72115	UPI000006DAB7	GO:0005277; GO:0005524; GO:0005739; GO:0005886; GO:0006641; GO:0006814; GO:0008513; GO:0009437; GO:0009925; GO:0015171; GO:0015199; GO:0015226; GO:0015293; GO:0015651; GO:0015697; GO:0015879; GO:0016324; GO:0030165; GO:0031966; GO:0042908; GO:0089718	"CHAIN 1..551; /note=""Solute carrier family 22 member 4""; /id=""PRO_0000220497"""	9426230; 15795384; 15372022; 15489334; 10215651; 14608356; 15832501; 16729965; 20601551; 22569296; 28209616; 29530864; 33124720; 35307651; 12436193; 15459889; 15107849; 22206629	CCDS4153.1;	AB007448;Y09881;AC008599;AC034220;BC028313;	NP_003050.2;				Q9H015;	112470;							9606.ENSP00000200652;		CHEMBL2073668;	DB00594;DB00345;DB00125;DB01053;DB00122;DB14006;DB00501;DB00575;DB00987;DB01151;DB00983;DB00536;DB00458;DB00332;DB00583;DB01137;DB00123;DB01043;DB06691;DB00184;DB01165;DB01035;DB01917;DB00908;DB00468;DB14754;DB03566;DB00127;DB13943;DB13944;DB13946;DB08837;DB01409;DB00661;										2.A.1.19.2;		Q9H015;	rs272893 rs4646201 rs1050152		Q9H015;	Q9H015;			9606-ENSP00000200652;	Q9H015;	80197;	ENST00000200652.4;						6583;		hsa:6583;						6583;			SLC22A4;	HGNC:10968;	ENSG00000197208;		180300;604190;	NX_Q9H015;		PA332;										KOG0255;	ENSGT00940000154155;	CLU_001265_33_4_1;	MEREENP;	1448128at2759;	Q9H015;	TF315847;			Q9H015;	R-HSA-549127;		SLC22A4;	ENSG00000197208;		cd17376;			IPR020846;IPR005828;IPR036259;IPR004749;IPR045915;IPR005829;	PTHR24064;PTHR24064:SF222;	PF00083;			PS50850;PS00216;		SSF103473;
560	Q9H0C2	SLC25A31	9606	ALTERNATIVE PRODUCTS:  		RHEA:34999 RHEA:73699 RHEA:72855 RHEA:34979	UPI0000037D19	GO:0005471; GO:0005634; GO:0005739; GO:0005743; GO:0005757; GO:0005886; GO:0007141; GO:0007283; GO:0016020; GO:0030154; GO:0031514; GO:0046902; GO:0140021; GO:1901029; GO:1990544	"CHAIN 1..315; /note=""ADP/ATP translocase 4""; /id=""PRO_0000297624"""	15670820; 17137571; 11230166; 15815621; 15489334; 17681941; 27641616; 25787250	CCDS3733.1;	AJ863129;AY550240;AL136857;AC093591;CH471056;BC022032;	NP_001305396.1;NP_112581.1;				Q9H0C2;	123649;					Q9H0C2;		9606.ENSP00000281154;													2.A.29.1.8;		Q9H0C2;			Q9H0C2;	Q9H0C2;	Q9H0C2;		9606-ENSP00000281154;	Q9H0C2;	80251;	ENST00000281154.6;						83447;		hsa:83447;						83447;			SLC25A31;	HGNC:25319;	ENSG00000151475;		610796;	NX_Q9H0C2;		PA142670904;										KOG0749;	ENSGT00940000160648;	CLU_015166_12_0_1;	MMQSGES;	1330359at2759;	Q9H0C2;	TF300743;			Q9H0C2;			SLC25A31;	ENSG00000151475;					IPR002113;IPR002067;IPR018108;IPR023395;	PTHR45635;PTHR45635:SF40;	PF00153;		PR00927;PR00926;	PS50920;		SSF103506;
561	Q9H0N5	PCBD2	9606	ALTERNATIVE PRODUCTS:  	4.2.1.96	RHEA:11920	UPI000013F545	GO:0004505; GO:0005634; GO:0006729; GO:0008124; GO:0042802; GO:0045893	"CHAIN 1..130; /note=""Pterin-4-alpha-carbinolamine dehydratase 2""; /id=""PRO_0000063057"""	11230166; 15372022; 15489334; 11980910; 21269460	CCDS43364.1;	AL136721;AC006077;AC008670;BC054021;AF499009;	NP_115527.3;		4C45;		Q9H0N5;	123893;					Q9H0N5;		9606.ENSP00000421544;															Q9H0N5;			Q9H0N5;	Q9H0N5;	Q9H0N5;		9606-ENSP00000421544;	Q9H0N5;	80304;	ENST00000254908.11;ENST00000512783.5;						84105;		hsa:84105;						84105;			PCBD2;	HGNC:24474;	ENSG00000132570;		609836;	NX_Q9H0N5;		PA142671197;										KOG4073;	ENSGT00390000007221;		SHDCGGV;	117067at2759;	Q9H0N5;	TF300188;	MetaCyc:HS13433-MONOMER;	4.2.1.96;	Q9H0N5;			PCBD2;	ENSG00000132570;	Q9H0N5;	cd00914;		MF_00434;	IPR036428;IPR001533;	PTHR12599;PTHR12599:SF15;	PF01329;					SSF55248;
562	Q9H0P0	NT5C3A	9606	ALTERNATIVE PRODUCTS:  Event=Alternative splicing; Named isoforms=4; Name=2; IsoId=Q9H0P0-4; Sequence=Displayed; Name=1; Synonyms=P5N-I; IsoId=Q9H0P0-1; Sequence=VSP_021565; Name=3; Synonyms=p36; IsoId=Q9H0P0-2; Sequence=VSP_015623; Name=4; Synonyms=P5N-R; IsoId=Q9H0P0-3; Sequence=VSP_015624;	3.1.3.5; 3.1.3.91	RHEA:37107 RHEA:29367 RHEA:12484	UPI0000037BCB	GO:0000166; GO:0000215; GO:0000287; GO:0005654; GO:0005737; GO:0005783; GO:0005829; GO:0006213; GO:0008253; GO:0009117; GO:0016604; GO:0051607; GO:0106411	"CHAIN 1..336; /note=""Cytosolic 5'-nucleotidase 3A""; /id=""PRO_0000064387"""	10942414; 11369620; 11230166; 14702039; 12853948; 15489334; 11042152; 8557639; 15604219; 15968458; 21269460; 22814378; 24603684; 17405878; 12930399; 15238149; 16461318; 18499901; 25153905	CCDS34617.1 [Q9H0P0-1];CCDS55101.1 [Q9H0P0-3];	AF312735;AL136716;AK290118;AK314109;CR533518;AC074338;AC083863;CH471073;CH471073;BC013292;BC015856;BC066914;BC071652;AF151067;	NP_001002009.1 [Q9H0P0-1];NP_001002010.1;NP_001159590.1 [Q9H0P0-3];NP_057573.2 [Q9H0P0-1];XP_011513711.1;		2CN1;2JGA;2VKQ;		Q9H0P0;	119408;					Q9H0P0;	Q9H0P0;	9606.ENSP00000476480;														NT5C3A;	Q9H0P0;	rs766577643 rs104894025 rs104894028 rs104894029		Q9H0P0;	Q9H0P0;	Q9H0P0;		9606-ENSP00000484415;	Q9H0P0;	80305 [Q9H0P0-4];80306 [Q9H0P0-1];80307 [Q9H0P0-2];80308 [Q9H0P0-3];	ENST00000409467.6 [Q9H0P0-3];ENST00000643244.1 [Q9H0P0-1];						51251;		hsa:51251;						51251;			NT5C3A;	HGNC:17820;	ENSG00000122643;		266120;606224;	NX_Q9H0P0;	35120;	PA31802;										KOG3128;	ENSGT00390000012959;	CLU_048584_0_2_1;		531581at2759;	Q9H0P0;	TF314663;		3.1.3.91;	Q9H0P0;	R-HSA-73621 [Q9H0P0-4];		NT5C3;	ENSG00000122643;	Q9H0P0;	cd07504;			IPR036412;IPR023214;IPR006434;	PTHR13045;PTHR13045:SF14;	PF05822;					SSF56784;
