	genes	tcdb	uniprot	subfamily	family	subclass	class	fam_abbreviation	superfamily	name	pfam	refseq	pdb	go	chebi	substrate
108	SLC4A1	2.A.31.1.1	P02730	2.A.31.1	2.A.31	2.A	2	AE	APC Superfamily	The Anion Exchanger (AE) Family	PF07565;PF00955	NP_000333.1	1BH7;1BNX;1BTQ;1BTR;1BTS;1BTT;1BZK;1HYN;2BTA;2BTB;3BTB;4KY9;4YZF	GO:0016323;GO:0030863;GO:0005887;GO:0030506;GO:0005452;GO:0043495;GO:0042803;GO:0006820;GO:0006873;GO:0030018;GO:0015301;GO:0015108;GO:0015701	CHEBI:3616;CHEBI:9175;CHEBI:8345;CHEBI:22563;CHEBI:5589;CHEBI:24834;CHEBI:25696;CHEBI:8150	chloride;sodium(1+);potassium(1+);anion;hydrogencarbonate;inorganic anion;organic anion;phospholipid
109	SLC4A2	2.A.31.1.2	P04920	2.A.31.1	2.A.31	2.A	2	AE	APC Superfamily	The Anion Exchanger (AE) Family	PF07565;PF00955	NP_003031.3		GO:0016021;GO:0005624;GO:0005452;GO:0006820;GO:0016323;GO:0005886;GO:0008509;GO:0015108;GO:0015701	CHEBI:3731;CHEBI:5589	chloride;hydrogencarbonate
110	SLC52A1	2.A.125.1.1	B5MEV1	2.A.125.1	2.A.125	2.A	2	E-RFT	Major Facilitator (MFS) Superfamily	The Eukaryotic Riboflavin Transporter (E-RFT) Family	PF06237			GO:0004872	CHEBI:8843	riboflavin
111	SLC6A8	2.A.22.3.11	P48029	2.A.22.3	2.A.22	2.A	2	NSS	APC Superfamily	The Neurotransmitter:Sodium Symporter (NSS) Family	PF00209			GO:0016021;GO:0005887;GO:0005886;GO:0015220;GO:0005309;GO:0005328;GO:0006600;GO:0006936	CHEBI:3731;CHEBI:9175;CHEBI:3909	chloride;sodium(1+);creatine
112	SLC6A9	2.A.22.2.12	P48067	2.A.22.2	2.A.22	2.A	2	NSS	APC Superfamily	The Neurotransmitter:Sodium Symporter (NSS) Family	PF00209			GO:0005887;GO:0005624;GO:0015375;GO:0005328	CHEBI:3731;CHEBI:9175;CHEBI:5460	chloride;sodium(1+);glycine
113	SLC7A1	2.A.3.3.9	P30825	2.A.3.3	2.A.3	2.A	2	APC	APC Superfamily	The Amino Acid-Polyamine-Organocation (APC) Family				GO:0005887;GO:0015181;GO:0004872;GO:0006865;GO:0006811;GO:0032006;GO:0055085	CHEBI:18019;CHEBI:7784;CHEBI:2643	L-lysine;ornithine;arginine
114	SLC7A6	2.A.3.8.23	Q92536	2.A.3.8	2.A.3	2.A	2	APC	APC Superfamily	The Amino Acid-Polyamine-Organocation (APC) Family				GO:0016323;GO:0005887;GO:0015171;GO:0015297;GO:0007596;GO:0006520;GO:0006811;GO:0050900;GO:0006461	CHEBI:2642;CHEBI:60311	alpha-amino acid;thyroid hormone
115	SLC9A1	2.A.36.1.13	P19634	2.A.36.1	2.A.36	2.A	2	CPA1	CPA Superfamily	The Monovalent Cation:Proton Antiporter-1 (CPA1) Family	PF00999		1Y4E;2BEC;2E30;2KBV;2L0E;2MDF;2YGG;6BJF;6NUC;6NUF;6NUU	GO:0016021;GO:0015385;GO:0006885;GO:0016323;GO:0005624;GO:0045121;GO:0005886;GO:0015299;GO:0030154;GO:0016049;GO:0007243;GO:0045768;GO:0001101;GO:0010447;GO:0042493;GO:0014070	CHEBI:9175;CHEBI:5584;CHEBI:25679	sodium(1+);hydron;oligosaccharide
116	SLC9A6	2.A.36.1.14	Q92581	2.A.36.1	2.A.36	2.A	2	CPA1	CPA Superfamily	The Monovalent Cation:Proton Antiporter-1 (CPA1) Family	PF00999			GO:0031901;GO:0005789;GO:0016021;GO:0005792;GO:0005886;GO:0055038;GO:0015385;GO:0006885	CHEBI:9175;CHEBI:5584	sodium(1+);hydron
117	SLC9A7	2.A.36.1.3	Q96T83	2.A.36.1	2.A.36	2.A	2	CPA1	CPA Superfamily	The Monovalent Cation:Proton Antiporter-1 (CPA1) Family	PF00999	NP_115980.1		GO:0016021;GO:0055038;GO:0005802;GO:0015386;GO:0042803;GO:0015385;GO:0006813;GO:0006885;GO:0006814;GO:0055085;GO:0000139	CHEBI:9175;CHEBI:8345;CHEBI:5584	sodium(1+);potassium(1+);hydron
118	SLC9B2	2.A.36.2.2	Q86UD5	2.A.36.2	2.A.36	2.A	2	CPA1	CPA Superfamily	The Monovalent Cation:Proton Antiporter-1 (CPA1) Family	PF00999	NP_849155.2		GO:0016021;GO:0031966;GO:0015299;GO:0015992;GO:0006814;GO:0055085	CHEBI:30143;CHEBI:9175;CHEBI:5584	lithium(1+);sodium(1+);hydron
119	STEAP3	5.B.6.1.1	Q658P3	5.B.6.1	5.B.6	5.B	5				PF03807;PF01794	NP_001008410.1;NP_060704.2;NP_861452.2;NP_878919.2	2VNS;2VQ3	GO:0010008;GO:0016021;GO:0005771;GO:0009055;GO:0050660;GO:0005506;GO:0006915;GO:0007049;GO:0006826;GO:0055114;GO:0009306	CHEBI:10545	electron
120	TFR2	2.B.93.1.2	Q9UP52	2.B.93.1	2.B.93	2.B	2								CHEBI:7990;CHEBI:23888	peptide;drug
121	TFR2	9.B.229.1.2	Q9UP52	9.B.229.1	9.B.229	9.B	9
122	TFRC	2.B.93.1.1	P02786	2.B.93.1	2.B.93	2.B	2						1CX8;1DE4;1SUV;2NSU;3KAS;3S9L;3S9M;3S9N;6D03;6D04;6D05;6GSR;6H5I;6OKD;6W3H;6Y76		CHEBI:7990;CHEBI:23888	peptide;drug
123	TFRC	9.B.229.1.1	P02786	9.B.229.1	9.B.229	9.B	9						1CX8;1DE4;1SUV;2NSU;3KAS;3S9L;3S9M;3S9N;6D03;6D04;6D05;6GSR;6H5I;6OKD;6W3H;6Y76
124	TMEM30A	1.A.17.1.30	Q9NV96	1.A.17.1	1.A.17	1.A	1	CaClC	Anoctamin Superfamily	The Calcium-dependent Chloride Channel (Ca-ClC) Family			6K7G;6K7H;6K7I;6K7J;6K7K;6K7L;6K7M;6K7N;6LKN
125	TMEM30A	8.A.27.1.5	Q9NV96	8.A.27.1	8.A.27	8.A	8						6K7G;6K7H;6K7I;6K7J;6K7K;6K7L;6K7M;6K7N;6LKN
126	TRPC6	1.A.4.1.5	Q9Y210	1.A.4.1	1.A.4	1.A	1	TRP-CC	VIC Superfamily	The Transient Receptor Potential Ca2+/Cation Channel (TRP-CC) Family	PF00520;PF08344	NP_004612.2	5YX9;6UZ8;6UZA	GO:0016021;GO:0005886;GO:0005515;GO:0006816;GO:0055085	CHEBI:3308;CHEBI:3473	calcium(2+);cation
127	TRPV2	1.A.4.2.8	Q9Y5S1	1.A.4.2	1.A.4	1.A	1	TRP-CC	VIC Superfamily	The Transient Receptor Potential Ca2+/Cation Channel (TRP-CC) Family	PF00023	NP_057197.2	2F37	GO:0005887;GO:0042470;GO:0005262;GO:0006816;GO:0007600	CHEBI:3308;CHEBI:36915	calcium(2+);inorganic cation
128	TSPO2	9.A.24.1.17	Q5TGU0	9.A.24.1	9.A.24	9.A	9								CHEBI:17549	5-aminolevulinic acid
129	VCP	3.A.16.1.1	P55072;Q541A5;Q6GYA4;Q8TAT6;Q8UZK5;Q9BUN8	3.A.16.1	3.A.16	3.A	3	ER-RT	AAA-ATPase Superfamily	The Endoplasmic Reticular Retrotranslocon (ER-RT) Family	PF00004;PF02933;PF02359;PF09336;PF04511;PF06936;PF03152;PF05021;PF05020;PF08001	NP_009057.1;NP_001128143.1;NP_077271.1;NP_005650.2;NP_060391.2	3EBB;3HU1;3HU2;3HU3;3QC8;3QQ7;3QQ8;3QWZ;3TIW;4KDI;4KDL;4KLN;4KO8;4KOD;4P0A;5B6C;5C18;5C19;5C1A;5C1B;5DYG;5DYI;5EPP;5FTJ;5FTK;5FTL;5FTM;5FTN;5GLF;5IFS;5IFW;5KIW;5KIY;5X4L;6G2V;6G2W;6G2X;6G2Y;6G2Z;6G30;6HD0;6MCK	GO:0005829;GO:0005783;GO:0005792;GO:0005634;GO:0000502;GO:0005524;GO:0016887;GO:0008289;GO:0031593;GO:0019904;GO:0019903;GO:0006919;GO:0006302;GO:0030968;GO:0030433;GO:0032436;GO:0016567;GO:0030970;GO:0005515;GO:0006511;GO:0030176;GO:0008430;GO:0006886;GO:0042175;GO:0008270;GO:0006944;GO:0007030;GO:0044167;GO:0030683;GO:0042288;GO:0004872;GO:0019060	CHEBI:36080	protein
130	VDAC2	1.B.8.1.12	P45880	1.B.8.1	1.B.8	1.B	1	MPP	Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 	The Mitochondrial and Plastid Porin (MPP) Family					CHEBI:22563	anion
131	ZDHHC20	8.A.114.1.6	Q5W0Z9	8.A.114.1	8.A.114	8.A	8						6BML;6BMM;6BMN
