Entry	Entry Name	Protein	Protein Names	Gene Names (Primary)	Length	Mass
P49915	GUAA_HUMAN	GUAA	GMP synthase [glutamine-hydrolyzing] (EC 6.3.5.2) (GMP synthetase) (Glutamine amidotransferase)	GMPS	693	76715
P49959	MRE11_HUMAN	MRE11	Double-strand break repair protein MRE11 (EC 3.1.-.-) (Meiotic recombination 11 homolog 1) (MRE11 homolog 1) (Meiotic recombination 11 homolog A) (MRE11 homolog A)	MRE11	708	80593
P50395	GDIB_HUMAN	GDIB	Rab GDP dissociation inhibitor beta (Rab GDI beta) (Guanosine diphosphate dissociation inhibitor 2) (GDI-2)	GDI2	445	50663
P50402	EMD_HUMAN	EMD	Emerin	EMD	254	28994
P50416	CPT1A_HUMAN	CPT1A	"Carnitine O-palmitoyltransferase 1, liver isoform (CPT1-L) (EC 2.3.1.21) (Carnitine O-palmitoyltransferase I, liver isoform) (CPT I) (CPTI-L) (Carnitine palmitoyltransferase 1A) (Succinyltransferase CPT1A) (EC 2.3.1.-)"	CPT1A	773	88368
P50453	SPB9_HUMAN	SPB9	Serpin B9 (Cytoplasmic antiproteinase 3) (CAP-3) (CAP3) (Peptidase inhibitor 9) (PI-9)	SERPINB9	376	42404
P50454	SERPH_HUMAN	SERPH	Serpin H1 (47 kDa heat shock protein) (Arsenic-transactivated protein 3) (AsTP3) (Cell proliferation-inducing gene 14 protein) (Collagen-binding protein) (Colligin) (Rheumatoid arthritis-related antigen RA-A47)	SERPINH1	418	46441
P50502	F10A1_HUMAN	F10A1	Hsc70-interacting protein (Hip) (Aging-associated protein 2) (Progesterone receptor-associated p48 protein) (Protein FAM10A1) (Putative tumor suppressor ST13) (Renal carcinoma antigen NY-REN-33) (Suppression of tumorigenicity 13 protein)	ST13	369	41332
P50552	VASP_HUMAN	VASP	Vasodilator-stimulated phosphoprotein (VASP)	VASP	380	39830
P50570	DYN2_HUMAN	DYN2	Dynamin-2 (EC 3.6.5.5) (Dynamin 2) (Dynamin II)	DNM2	870	98064
P50579	MAP2_HUMAN	MAP2	Methionine aminopeptidase 2 (MAP 2) (MetAP 2) (EC 3.4.11.18) (Initiation factor 2-associated 67 kDa glycoprotein) (p67) (p67eIF2) (Peptidase M)	METAP2	478	52892
P50583	AP4A_HUMAN	AP4A	"Bis(5'-nucleosyl)-tetraphosphatase [asymmetrical] (EC 3.6.1.17) (Diadenosine 5',5'''-P1,P4-tetraphosphate asymmetrical hydrolase) (Ap4A hydrolase) (Ap4Aase) (Diadenosine tetraphosphatase) (Nucleoside diphosphate-linked moiety X motif 2) (Nudix motif 2)"	NUDT2	147	16829
P50895	BCAM_HUMAN	BCAM	Basal cell adhesion molecule (Auberger B antigen) (B-CAM cell surface glycoprotein) (F8/G253 antigen) (Lutheran antigen) (Lutheran blood group glycoprotein) (CD antigen CD239)	BCAM	628	67405
P50990	TCPQ_HUMAN	TCPQ	T-complex protein 1 subunit theta (TCP-1-theta) (CCT-theta) (Chaperonin containing T-complex polypeptide 1 subunit 8) (Renal carcinoma antigen NY-REN-15)	CCT8	548	59621
P50991	TCPD_HUMAN	TCPD	T-complex protein 1 subunit delta (TCP-1-delta) (CCT-delta) (Chaperonin containing T-complex polypeptide 1 subunit 4) (Stimulator of TAR RNA-binding)	CCT4	539	57924
P50995	ANX11_HUMAN	ANX11	Annexin A11 (56 kDa autoantigen) (Annexin XI) (Annexin-11) (Calcyclin-associated annexin 50) (CAP-50)	ANXA11	505	54390
P51148	RAB5C_HUMAN	RAB5C	Ras-related protein Rab-5C (EC 3.6.5.2) (L1880) (RAB5L)	RAB5C	216	23483
P51149	RAB7A_HUMAN	RAB7A	Ras-related protein Rab-7a (EC 3.6.5.2)	RAB7A	207	23490
P51570	GALK1_HUMAN	GALK1	Galactokinase (EC 2.7.1.6) (Galactose kinase)	GALK1	392	42272
P51580	TPMT_HUMAN	TPMT	Thiopurine S-methyltransferase (EC 2.1.1.67) (Thiopurine methyltransferase)	TPMT	245	28180
P51665	PSMD7_HUMAN	PSMD7	26S proteasome non-ATPase regulatory subunit 7 (26S proteasome regulatory subunit RPN8) (26S proteasome regulatory subunit S12) (Mov34 protein homolog) (Proteasome subunit p40)	PSMD7	324	37025
P51692	STA5B_HUMAN	STA5B	Signal transducer and activator of transcription 5B	STAT5B	787	89866
P51784	UBP11_HUMAN	UBP11	Ubiquitin carboxyl-terminal hydrolase 11 (EC 3.4.19.12) (Deubiquitinating enzyme 11) (Ubiquitin thioesterase 11) (Ubiquitin-specific-processing protease 11)	USP11	963	109817
P51790	CLCN3_HUMAN	CLCN3	H(+)/Cl(-) exchange transporter 3 (Chloride channel protein 3) (ClC-3) (Chloride transporter ClC-3)	CLCN3	818	90966
P51811	XK_HUMAN	XK	Endoplasmic reticulum membrane adapter protein XK (Kell complex 37 kDa component) (Kx antigen) (Membrane transport protein XK) (XK-related protein 1)	XK	444	50902
P51812	KS6A3_HUMAN	KS6A3	Ribosomal protein S6 kinase alpha-3 (S6K-alpha-3) (EC 2.7.11.1) (90 kDa ribosomal protein S6 kinase 3) (p90-RSK 3) (p90RSK3) (Insulin-stimulated protein kinase 1) (ISPK-1) (MAP kinase-activated protein kinase 1b) (MAPK-activated protein kinase 1b) (MAPKAP kinase 1b) (MAPKAPK-1b) (Ribosomal S6 kinase 2) (RSK-2) (pp90RSK2)	RPS6KA3	740	83736
P51858	HDGF_HUMAN	HDGF	Hepatoma-derived growth factor (HDGF) (High mobility group protein 1-like 2) (HMG-1L2)	HDGF	240	26788
P51884	LUM_HUMAN	LUM	Lumican (Keratan sulfate proteoglycan lumican) (KSPG lumican)	LUM	338	38429
P51991	ROA3_HUMAN	ROA3	Heterogeneous nuclear ribonucleoprotein A3 (hnRNP A3)	HNRNPA3	378	39595
P52209	6PGD_HUMAN	6PGD	"6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)"	PGD	483	53140
P52294	IMA5_HUMAN	IMA5	"Importin subunit alpha-5 (Karyopherin subunit alpha-1) (Nucleoprotein interactor 1) (NPI-1) (RAG cohort protein 2) (SRP1-beta) [Cleaved into: Importin subunit alpha-5, N-terminally processed]"	KPNA1	538	60222
P52434	RPAB3_HUMAN	RPAB3	"DNA-directed RNA polymerases I, II, and III subunit RPABC3 (RNA polymerases I, II, and III subunit ABC3) (DNA-directed RNA polymerase II subunit H) (DNA-directed RNA polymerases I, II, and III 17.1 kDa polypeptide) (RPB17) (RPB8 homolog) (hRPB8)"	POLR2H	150	17143
P52565	GDIR1_HUMAN	GDIR1	Rho GDP-dissociation inhibitor 1 (Rho GDI 1) (Rho-GDI alpha)	ARHGDIA	204	23207
P52566	GDIR2_HUMAN	GDIR2	Rho GDP-dissociation inhibitor 2 (Rho GDI 2) (Ly-GDI) (Rho-GDI beta)	ARHGDIB	201	22988
P52594	AGFG1_HUMAN	AGFG1	Arf-GAP domain and FG repeat-containing protein 1 (HIV-1 Rev-binding protein) (Nucleoporin-like protein RIP) (Rev-interacting protein) (Rev/Rex activation domain-binding protein)	AGFG1	562	58260
P52597	HNRPF_HUMAN	HNRPF	"Heterogeneous nuclear ribonucleoprotein F (hnRNP F) (Nucleolin-like protein mcs94-1) [Cleaved into: Heterogeneous nuclear ribonucleoprotein F, N-terminally processed]"	HNRNPF	415	45672
P52758	RIDA_HUMAN	RIDA	2-iminobutanoate/2-iminopropanoate deaminase (EC 3.5.99.10) (14.5 kDa translational inhibitor protein) (hp14.5) (p14.5) (Heat-responsive protein 12) (Reactive intermediate imine deaminase A homolog) (Translation inhibitor L-PSP ribonuclease) (UK114 antigen homolog)	RIDA	137	14494
P52788	SPSY_HUMAN	SPSY	Spermine synthase (SPMSY) (EC 2.5.1.22) (Spermidine aminopropyltransferase)	SMS	366	41268
P52888	THOP1_HUMAN	THOP1	Thimet oligopeptidase (EC 3.4.24.15) (Endopeptidase 24.15) (MP78)	THOP1	689	78840
P52907	CAZA1_HUMAN	CAZA1	F-actin-capping protein subunit alpha-1 (CapZ alpha-1)	CAPZA1	286	32923
P53004	BIEA_HUMAN	BIEA	Biliverdin reductase A (BVR A) (EC 1.3.1.24) (Biliverdin-IX alpha-reductase)	BLVRA	296	33428
P53041	PPP5_HUMAN	PPP5	Serine/threonine-protein phosphatase 5 (PP5) (EC 3.1.3.16) (Protein phosphatase T) (PP-T) (PPT)	PPP5C	499	56879
P53396	ACLY_HUMAN	ACLY	ATP-citrate synthase (EC 2.3.3.8) (ATP-citrate (pro-S-)-lyase) (ACL) (Citrate cleavage enzyme)	ACLY	1101	120839
P53602	MVD1_HUMAN	MVD1	Diphosphomevalonate decarboxylase (EC 4.1.1.33) (Mevalonate (diphospho)decarboxylase) (MDDase) (Mevalonate pyrophosphate decarboxylase)	MVD	400	43405
P53611	PGTB2_HUMAN	PGTB2	Geranylgeranyl transferase type-2 subunit beta (EC 2.5.1.60) (Geranylgeranyl transferase type II subunit beta) (GGTase-II-beta) (Rab geranyl-geranyltransferase subunit beta) (Rab GG transferase beta) (Rab GGTase beta) (Rab geranylgeranyltransferase subunit beta) (Type II protein geranyl-geranyltransferase subunit beta)	RABGGTB	331	36924
P53618	COPB_HUMAN	COPB	Coatomer subunit beta (Beta-coat protein) (Beta-COP)	COPB1	953	107142
P53621	COPA_HUMAN	COPA	Coatomer subunit alpha (Alpha-coat protein) (Alpha-COP) (HEP-COP) (HEPCOP) [Cleaved into: Xenin (Xenopsin-related peptide); Proxenin]	COPA	1224	138346
P53680	AP2S1_HUMAN	AP2S1	AP-2 complex subunit sigma (Adaptor protein complex AP-2 subunit sigma) (Adaptor-related protein complex 2 subunit sigma) (Clathrin assembly protein 2 sigma small chain) (Clathrin coat assembly protein AP17) (Clathrin coat-associated protein AP17) (HA2 17 kDa subunit) (Plasma membrane adaptor AP-2 17 kDa protein) (Sigma2-adaptin)	AP2S1	142	17018
P53985	MOT1_HUMAN	MOT1	Monocarboxylate transporter 1 (MCT 1) (Solute carrier family 16 member 1)	SLC16A1	500	53944
P53990	IST1_HUMAN	IST1	IST1 homolog (hIST1) (Charged multivesicular body protein 8) (CHMP8) (Putative MAPK-activating protein PM28)	IST1	364	39751
P54105	ICLN_HUMAN	ICLN	"Methylosome subunit pICln (Chloride channel, nucleotide sensitive 1A) (Chloride conductance regulatory protein ICln) (I(Cln)) (Chloride ion current inducer protein) (ClCI) (Reticulocyte pICln)"	CLNS1A	237	26215
P54136	SYRC_HUMAN	SYRC	"Arginine--tRNA ligase, cytoplasmic (EC 6.1.1.19) (Arginyl-tRNA synthetase) (ArgRS)"	RARS1	660	75379
P54252	ATX3_HUMAN	ATX3	Ataxin-3 (EC 3.4.19.12) (Machado-Joseph disease protein 1) (Spinocerebellar ataxia type 3 protein)	ATXN3	361	41250
P54577	SYYC_HUMAN	SYYC	"Tyrosine--tRNA ligase, cytoplasmic (EC 6.1.1.1) (Tyrosyl-tRNA synthetase) (TyrRS) [Cleaved into: Tyrosine--tRNA ligase, cytoplasmic, N-terminally processed]"	YARS1	528	59143
P54578	UBP14_HUMAN	UBP14	Ubiquitin carboxyl-terminal hydrolase 14 (EC 3.4.19.12) (Deubiquitinating enzyme 14) (Ubiquitin thioesterase 14) (Ubiquitin-specific-processing protease 14)	USP14	494	56069
P54652	HSP72_HUMAN	HSP72	Heat shock-related 70 kDa protein 2 (Heat shock 70 kDa protein 2) (Heat shock protein family A member 2)	HSPA2	639	70021
P54709	AT1B3_HUMAN	AT1B3	Sodium/potassium-transporting ATPase subunit beta-3 (Sodium/potassium-dependent ATPase subunit beta-3) (ATPB-3) (CD antigen CD298)	ATP1B3	279	31513
P54725	RD23A_HUMAN	RD23A	UV excision repair protein RAD23 homolog A (HR23A) (hHR23A)	RAD23A	363	39609
P54727	RD23B_HUMAN	RD23B	UV excision repair protein RAD23 homolog B (HR23B) (hHR23B) (XP-C repair-complementing complex 58 kDa protein) (p58)	RAD23B	409	43171
P54920	SNAA_HUMAN	SNAA	Alpha-soluble NSF attachment protein (SNAP-alpha) (N-ethylmaleimide-sensitive factor attachment protein alpha)	NAPA	295	33233
P55010	IF5_HUMAN	IF5	Eukaryotic translation initiation factor 5 (eIF-5)	EIF5	431	49223
P55036	PSMD4_HUMAN	PSMD4	26S proteasome non-ATPase regulatory subunit 4 (26S proteasome regulatory subunit RPN10) (26S proteasome regulatory subunit S5A) (Antisecretory factor 1) (AF) (ASF) (Multiubiquitin chain-binding protein)	PSMD4	377	40737
P55039	DRG2_HUMAN	DRG2	Developmentally-regulated GTP-binding protein 2 (DRG-2) (Translation factor GTPase DRG2) (TRAFAC GTPase DRG2) (EC 3.6.5.-)	DRG2	364	40746
P55056	APOC4_HUMAN	APOC4	Apolipoprotein C-IV (Apo-CIV) (ApoC-IV) (Apolipoprotein C4)	APOC4	127	14553
P55058	PLTP_HUMAN	PLTP	Phospholipid transfer protein (Lipid transfer protein II)	PLTP	493	54739
P55060	XPO2_HUMAN	XPO2	Exportin-2 (Exp2) (Cellular apoptosis susceptibility protein) (Chromosome segregation 1-like protein) (Importin-alpha re-exporter)	CSE1L	971	110417
P55072	TERA_HUMAN	TERA	Transitional endoplasmic reticulum ATPase (TER ATPase) (EC 3.6.4.6) (15S Mg(2+)-ATPase p97 subunit) (Valosin-containing protein) (VCP)	VCP	806	89322
P55209	NP1L1_HUMAN	NP1L1	Nucleosome assembly protein 1-like 1 (NAP-1-related protein) (hNRP)	NAP1L1	391	45374
P55212	CASP6_HUMAN	CASP6	Caspase-6 (CASP-6) (CSP-6) (EC 3.4.22.59) (Apoptotic protease Mch-2) [Cleaved into: Caspase-6 subunit p18 (Caspase-6 subunit p20); Caspase-6 subunit p11 (Caspase-6 subunit p10)]	CASP6	293	33310
P55263	ADK_HUMAN	ADK	Adenosine kinase (AK) (EC 2.7.1.20) (Adenosine 5'-phosphotransferase)	ADK	362	40545
P55786	PSA_HUMAN	PSA	Puromycin-sensitive aminopeptidase (PSA) (EC 3.4.11.14) (Cytosol alanyl aminopeptidase) (AAP-S)	NPEPPS	919	103276
P55854	SUMO3_HUMAN	SUMO3	Small ubiquitin-related modifier 3 (SUMO-3) (SMT3 homolog 1) (SUMO-2) (Ubiquitin-like protein SMT3A) (Smt3A)	SUMO3	103	11637
P55884	EIF3B_HUMAN	EIF3B	Eukaryotic translation initiation factor 3 subunit B (eIF3b) (Eukaryotic translation initiation factor 3 subunit 9) (Prt1 homolog) (hPrt1) (eIF-3-eta) (eIF3 p110) (eIF3 p116)	EIF3B	814	92482
P55957	BID_HUMAN	BID	BH3-interacting domain death agonist (p22 BID) (BID) [Cleaved into: BH3-interacting domain death agonist p15 (p15 BID); BH3-interacting domain death agonist p13 (p13 BID); BH3-interacting domain death agonist p11 (p11 BID)]	BID	195	21995
P56537	IF6_HUMAN	IF6	Eukaryotic translation initiation factor 6 (eIF-6) (B(2)GCN homolog) (B4 integrin interactor) (CAB) (p27(BBP))	EIF6	245	26599
P56557	TM50B_HUMAN	TM50B	Transmembrane protein 50B (HCV p7-trans-regulated protein 3)	TMEM50B	158	17936
P57088	TMM33_HUMAN	TMM33	Transmembrane protein 33 (Protein DB83) (SHINC-3)	TMEM33	247	27978
P57737	CORO7_HUMAN	CORO7	Coronin-7 (Crn7) (70 kDa WD repeat tumor rejection antigen homolog)	CORO7	925	100605
P57764	GSDMD_HUMAN	GSDMD	"Gasdermin-D (Gasdermin domain-containing protein 1) [Cleaved into: Gasdermin-D, N-terminal (GSDMD-NT) (hGSDMD-NTD); Gasdermin-D, C-terminal (GSDMD-CT) (hGSDMD-CTD); Gasdermin-D, p13 (Gasdermin-D, 13 kDa) (13 kDa GSDMD); Gasdermin-D, p40]"	GSDMD	484	52801
P57772	SELB_HUMAN	SELB	"Selenocysteine-specific elongation factor (EC 3.6.5.-) (Elongation factor sec) (Eukaryotic elongation factor, selenocysteine-tRNA-specific)"	EEFSEC	596	65305
P58546	MTPN_HUMAN	MTPN	Myotrophin (Protein V-1)	MTPN	118	12895
P59998	ARPC4_HUMAN	ARPC4	Actin-related protein 2/3 complex subunit 4 (Arp2/3 complex 20 kDa subunit) (p20-ARC)	ARPC4	168	19667
P60059	SC61G_HUMAN	SC61G	Protein transport protein Sec61 subunit gamma	SEC61G	68	7741
P60174	TPIS_HUMAN	TPIS	Triosephosphate isomerase (TIM) (EC 5.3.1.1) (Methylglyoxal synthase) (EC 4.2.3.3) (Triose-phosphate isomerase)	TPI1	249	26669
P60520	GBRL2_HUMAN	GBRL2	Gamma-aminobutyric acid receptor-associated protein-like 2 (GABA(A) receptor-associated protein-like 2) (Ganglioside expression factor 2) (GEF-2) (General protein transport factor p16) (Golgi-associated ATPase enhancer of 16 kDa) (GATE-16) (MAP1 light chain 3-related protein)	GABARAPL2	117	13667
P60709	ACTB_HUMAN	ACTB	"Actin, cytoplasmic 1 (EC 3.6.4.-) (Beta-actin) [Cleaved into: Actin, cytoplasmic 1, N-terminally processed]"	ACTB	375	41737
P60842	IF4A1_HUMAN	IF4A1	Eukaryotic initiation factor 4A-I (eIF-4A-I) (eIF4A-I) (EC 3.6.4.13) (ATP-dependent RNA helicase eIF4A-1)	EIF4A1	406	46154
P60866	RS20_HUMAN	RS20	Small ribosomal subunit protein uS10 (40S ribosomal protein S20)	RPS20	119	13373
P60891	PRPS1_HUMAN	PRPS1	Ribose-phosphate pyrophosphokinase 1 (EC 2.7.6.1) (PPRibP) (Phosphoribosyl pyrophosphate synthase I) (PRS-I)	PRPS1	318	34834
P60900	PSA6_HUMAN	PSA6	Proteasome subunit alpha type-6 (27 kDa prosomal protein) (PROS-27) (p27K) (Macropain iota chain) (Multicatalytic endopeptidase complex iota chain) (Proteasome iota chain) (Proteasome subunit alpha-1) (alpha-1)	PSMA6	246	27399
P60953	CDC42_HUMAN	CDC42	Cell division control protein 42 homolog (EC 3.6.5.2) (G25K GTP-binding protein)	CDC42	191	21259
P60981	DEST_HUMAN	DEST	Destrin (Actin-depolymerizing factor) (ADF)	DSTN	165	18506
P60983	GMFB_HUMAN	GMFB	Glia maturation factor beta (GMF-beta)	GMFB	142	16713
P61006	RAB8A_HUMAN	RAB8A	Ras-related protein Rab-8A (EC 3.6.5.2) (Oncogene c-mel)	RAB8A	207	23668
P61019	RAB2A_HUMAN	RAB2A	Ras-related protein Rab-2A (EC 3.6.5.2)	RAB2A	212	23546
P61020	RAB5B_HUMAN	RAB5B	Ras-related protein Rab-5B (EC 3.6.5.2)	RAB5B	215	23707
P61026	RAB10_HUMAN	RAB10	Ras-related protein Rab-10 (EC 3.6.5.2)	RAB10	200	22541
P61077	UB2D3_HUMAN	UB2D3	Ubiquitin-conjugating enzyme E2 D3 (EC 2.3.2.23) ((E3-independent) E2 ubiquitin-conjugating enzyme D3) (EC 2.3.2.24) (E2 ubiquitin-conjugating enzyme D3) (Ubiquitin carrier protein D3) (Ubiquitin-conjugating enzyme E2(17)KB 3) (Ubiquitin-conjugating enzyme E2-17 kDa 3) (Ubiquitin-protein ligase D3)	UBE2D3	147	16687
P61081	UBC12_HUMAN	UBC12	NEDD8-conjugating enzyme Ubc12 (EC 2.3.2.34) (NEDD8 carrier protein) (Ubiquitin-conjugating enzyme E2 M)	UBE2M	183	20900
P61086	UBE2K_HUMAN	UBE2K	Ubiquitin-conjugating enzyme E2 K (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme K) (Huntingtin-interacting protein 2) (HIP-2) (Ubiquitin carrier protein) (Ubiquitin-conjugating enzyme E2-25 kDa) (Ubiquitin-conjugating enzyme E2(25K)) (Ubiquitin-conjugating enzyme E2-25K) (Ubiquitin-protein ligase)	UBE2K	200	22407
P61088	UBE2N_HUMAN	UBE2N	Ubiquitin-conjugating enzyme E2 N (EC 2.3.2.23) (Bendless-like ubiquitin-conjugating enzyme) (E2 ubiquitin-conjugating enzyme N) (Ubc13) (UbcH13) (Ubiquitin carrier protein N) (Ubiquitin-protein ligase N)	UBE2N	152	17138
P61106	RAB14_HUMAN	RAB14	Ras-related protein Rab-14 (EC 3.6.5.2)	RAB14	215	23897
P61158	ARP3_HUMAN	ARP3	Actin-related protein 3 (Actin-like protein 3)	ACTR3	418	47371
P61160	ARP2_HUMAN	ARP2	Actin-related protein 2 (Actin-like protein 2)	ACTR2	394	44761
P61163	ACTZ_HUMAN	ACTZ	Alpha-centractin (Centractin) (ARP1) (Actin-RPV) (Centrosome-associated actin homolog)	ACTR1A	376	42614
P61201	CSN2_HUMAN	CSN2	COP9 signalosome complex subunit 2 (SGN2) (Signalosome subunit 2) (Alien homolog) (JAB1-containing signalosome subunit 2) (Thyroid receptor-interacting protein 15) (TR-interacting protein 15) (TRIP-15)	COPS2	443	51597
P61221	ABCE1_HUMAN	ABCE1	ATP-binding cassette sub-family E member 1 (EC 3.6.5.-) (2'-5'-oligoadenylate-binding protein) (HuHP68) (RNase L inhibitor) (Ribonuclease 4 inhibitor) (RNS4I)	ABCE1	599	67314
P61224	RAP1B_HUMAN	RAP1B	Ras-related protein Rap-1b (EC 3.6.5.2) (GTP-binding protein smg p21B)	RAP1B	184	20825
P61225	RAP2B_HUMAN	RAP2B	Ras-related protein Rap-2b (EC 3.6.5.2)	RAP2B	183	20504
P61247	RS3A_HUMAN	RS3A	Small ribosomal subunit protein eS1 (40S ribosomal protein S3a) (v-fos transformation effector protein) (Fte-1)	RPS3A	264	29945
P61326	MGN_HUMAN	MGN	Protein mago nashi homolog	MAGOH	146	17164
P61457	PHS_HUMAN	PHS	Pterin-4-alpha-carbinolamine dehydratase (PHS) (EC 4.2.1.96) (4-alpha-hydroxy-tetrahydropterin dehydratase) (Dimerization cofactor of hepatocyte nuclear factor 1-alpha) (DCoH) (Dimerization cofactor of HNF1) (Phenylalanine hydroxylase-stimulating protein) (Pterin carbinolamine dehydratase) (PCD)	PCBD1	104	12000
P61586	RHOA_HUMAN	RHOA	Transforming protein RhoA (EC 3.6.5.2) (Rho cDNA clone 12) (h12)	RHOA	193	21768
P61758	PFD3_HUMAN	PFD3	Prefoldin subunit 3 (HIBBJ46) (von Hippel-Lindau-binding protein 1) (VBP-1) (VHL-binding protein 1)	VBP1	197	22626
P61923	COPZ1_HUMAN	COPZ1	Coatomer subunit zeta-1 (Zeta-1-coat protein) (Zeta-1 COP)	COPZ1	177	20198
P61960	UFM1_HUMAN	UFM1	Ubiquitin-fold modifier 1	UFM1	85	9118
P61962	DCAF7_HUMAN	DCAF7	DDB1- and CUL4-associated factor 7 (WD repeat-containing protein 68) (WD repeat-containing protein An11 homolog)	DCAF7	342	38926
P61966	AP1S1_HUMAN	AP1S1	AP-1 complex subunit sigma-1A (Adaptor protein complex AP-1 subunit sigma-1A) (Adaptor-related protein complex 1 subunit sigma-1A) (Clathrin assembly protein complex 1 sigma-1A small chain) (Clathrin coat assembly protein AP19) (Golgi adaptor HA1/AP1 adaptin sigma-1A subunit) (HA1 19 kDa subunit) (Sigma 1a subunit of AP-1 clathrin) (Sigma-adaptin 1A) (Sigma1A-adaptin)	AP1S1	158	18733
P61970	NTF2_HUMAN	NTF2	Nuclear transport factor 2 (NTF-2) (Placental protein 15) (PP15)	NUTF2	127	14478
P61978	HNRPK_HUMAN	HNRPK	Heterogeneous nuclear ribonucleoprotein K (hnRNP K) (Transformation up-regulated nuclear protein) (TUNP)	HNRNPK	463	50976
P61981	1433G_HUMAN	1433G	"14-3-3 protein gamma (Protein kinase C inhibitor protein 1) (KCIP-1) [Cleaved into: 14-3-3 protein gamma, N-terminally processed]"	YWHAG	247	28303
P62136	PP1A_HUMAN	PP1A	Serine/threonine-protein phosphatase PP1-alpha catalytic subunit (PP-1A) (EC 3.1.3.16)	PPP1CA	330	37512
P62140	PP1B_HUMAN	PP1B	Serine/threonine-protein phosphatase PP1-beta catalytic subunit (PP-1B) (PPP1CD) (EC 3.1.3.16) (EC 3.1.3.53)	PPP1CB	327	37187
P62191	PRS4_HUMAN	PRS4	26S proteasome regulatory subunit 4 (P26s4) (26S proteasome AAA-ATPase subunit RPT2) (Proteasome 26S subunit ATPase 1)	PSMC1	440	49185
P62195	PRS8_HUMAN	PRS8	26S proteasome regulatory subunit 8 (26S proteasome AAA-ATPase subunit RPT6) (Proteasome 26S subunit ATPase 5) (Proteasome subunit p45) (Thyroid hormone receptor-interacting protein 1) (TRIP1) (p45/SUG)	PSMC5	406	45626
P62241	RS8_HUMAN	RS8	Small ribosomal subunit protein eS8 (40S ribosomal protein S8)	RPS8	208	24205
P62249	RS16_HUMAN	RS16	Small ribosomal subunit protein uS9 (40S ribosomal protein S16)	RPS16	146	16445
P62256	UBE2H_HUMAN	UBE2H	Ubiquitin-conjugating enzyme E2 H (EC 2.3.2.23) ((E3-independent) E2 ubiquitin-conjugating enzyme H) (EC 2.3.2.24) (E2 ubiquitin-conjugating enzyme H) (UbcH2) (Ubiquitin carrier protein H) (Ubiquitin-conjugating enzyme E2-20K) (Ubiquitin-protein ligase H)	UBE2H	183	20655
P62258	1433E_HUMAN	1433E	14-3-3 protein epsilon (14-3-3E)	YWHAE	255	29174
P62269	RS18_HUMAN	RS18	Small ribosomal subunit protein uS13 (40S ribosomal protein S18) (Ke-3) (Ke3)	RPS18	152	17719
P62277	RS13_HUMAN	RS13	Small ribosomal subunit protein uS15 (40S ribosomal protein S13)	RPS13	151	17222
P62312	LSM6_HUMAN	LSM6	U6 snRNA-associated Sm-like protein LSm6	LSM6	80	9128
P62330	ARF6_HUMAN	ARF6	ADP-ribosylation factor 6 (EC 3.6.5.2)	ARF6	175	20082
P62333	PRS10_HUMAN	PRS10	26S proteasome regulatory subunit 10B (26S proteasome AAA-ATPase subunit RPT4) (Proteasome 26S subunit ATPase 6) (Proteasome subunit p42)	PSMC6	389	44173
P62424	RL7A_HUMAN	RL7A	Large ribosomal subunit protein eL8 (60S ribosomal protein L7a) (PLA-X polypeptide) (Surfeit locus protein 3)	RPL7A	266	29996
P62495	ERF1_HUMAN	ERF1	Eukaryotic peptide chain release factor subunit 1 (Eukaryotic release factor 1) (eRF1) (Protein Cl1) (TB3-1)	ETF1	437	49031
P62701	RS4X_HUMAN	RS4X	"Small ribosomal subunit protein eS4, X isoform (40S ribosomal protein S4) (SCR10) (Single copy abundant mRNA protein)"	RPS4X	263	29598
P62750	RL23A_HUMAN	RL23A	Large ribosomal subunit protein uL23 (60S ribosomal protein L23a)	RPL23A	156	17695
P62805	H4_HUMAN	H4	Histone H4	H4C1; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16	103	11367
P62820	RAB1A_HUMAN	RAB1A	Ras-related protein Rab-1A (EC 3.6.5.2) (YPT1-related protein)	RAB1A	205	22678
P62826	RAN_HUMAN	RAN	GTP-binding nuclear protein Ran (EC 3.6.5.-) (Androgen receptor-associated protein 24) (GTPase Ran) (Ras-like protein TC4) (Ras-related nuclear protein)	RAN	216	24423
P62834	RAP1A_HUMAN	RAP1A	Ras-related protein Rap-1A (EC 3.6.5.2) (C21KG) (G-22K) (GTP-binding protein smg p21A) (Ras-related protein Krev-1)	RAP1A	184	20987
P62837	UB2D2_HUMAN	UB2D2	Ubiquitin-conjugating enzyme E2 D2 (EC 2.3.2.23) ((E3-independent) E2 ubiquitin-conjugating enzyme D2) (EC 2.3.2.24) (E2 ubiquitin-conjugating enzyme D2) (Ubiquitin carrier protein D2) (Ubiquitin-conjugating enzyme E2(17)KB 2) (Ubiquitin-conjugating enzyme E2-17 kDa 2) (Ubiquitin-protein ligase D2) (p53-regulated ubiquitin-conjugating enzyme 1)	UBE2D2	147	16735
P62857	RS28_HUMAN	RS28	Small ribosomal subunit protein eS28 (40S ribosomal protein S28)	RPS28	69	7841
P62873	GBB1_HUMAN	GBB1	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1 (Transducin beta chain 1)	GNB1	340	37377
